"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L73376","HadoopVersionAnnotation","org.apache.hadoop.HadoopVersionAnnotation","L106","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\HadoopVersionAnnotation.java","25","1","63","2","0","0","0","0","0","0","0","0","0","0","0","6","0","1","6","0","6","1","0.722222","26","26","1","0","0.722222","26","0","0","0","0","0","10","39","0","0","0","0","6","0","0","0","6","0","0","0","0","10","39","0","0","0","0","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14301","KerberosInfo","org.apache.hadoop.security.KerberosInfo","L96837","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\security\KerberosInfo.java","26","1","32","2","0","0","0","0","0","0","0","0","0","0","0","2","0","18","3","0","2","1","0.4","4","4","1","0","0.4","4","0","0","0","0","0","6","7","0","0","0","0","2","0","0","0","2","0","0","0","0","6","7","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62820","InterfaceAudience$Public","org.apache.hadoop.classification.InterfaceAudience$Public","L7422","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\classification\InterfaceAudience.java","31","3","31","42","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","0","1","0.75","3","3","1","0","0.75","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62830","InterfaceAudience$LimitedPrivate","org.apache.hadoop.classification.InterfaceAudience$LimitedPrivate","L7422","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\classification\InterfaceAudience.java","37","3","39","4","0","0","0","0","0","0","0","0","0","0","0","1","0","15","0","0","1","1","0.571429","4","4","1","0","0.571429","4","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7419","InterfaceAudience$Private","org.apache.hadoop.classification.InterfaceAudience$Private","L7422","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\classification\InterfaceAudience.java","44","3","44","43","0","0","0","0","0","0","0","0","0","0","0","0","0","46","0","0","0","1","0.75","3","3","1","0","0.75","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62837","InterfaceStability$Stable","org.apache.hadoop.classification.InterfaceStability$Stable","L7428","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\classification\InterfaceStability.java","33","3","34","30","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","1","0.666667","4","4","1","0","0.666667","4","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7425","InterfaceStability$Evolving","org.apache.hadoop.classification.InterfaceStability$Evolving","L7428","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\classification\InterfaceStability.java","39","3","40","32","0","0","0","0","0","0","0","0","0","0","0","0","0","54","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62840","InterfaceStability$Unstable","org.apache.hadoop.classification.InterfaceStability$Unstable","L7428","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\classification\InterfaceStability.java","46","3","47","32","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0.666667","4","4","1","0","0.666667","4","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L75659","DoNotPool","org.apache.hadoop.io.compress.DoNotPool","L74611","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\io\compress\DoNotPool.java","30","1","35","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.444444","4","4","1","0","0.444444","4","0","0","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21922","TokenInfo","org.apache.hadoop.security.token.TokenInfo","L99137","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\security\token\TokenInfo.java","26","1","31","2","0","0","0","0","0","0","0","0","0","0","0","1","2","10","1","0","1","1","0.444444","4","4","1","0","0.444444","4","0","0","0","0","0","5","6","0","0","0","0","1","0","0","0","1","0","0","0","0","5","6","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
