"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4658","LocalityLevel","org.apache.hadoop.mapred.LocalityLevel","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\contrib\fairscheduler\src\java\org\apache\hadoop\mapred\LocalityLevel.java","40","1","84","2","0","0","0","0","0","0","0","0","1","2","2","14","6","5","1","4","6","0.666667","0.387097","24","24","2","1","0.387097","24","0","0","0","0","0","38","45","4","0","4","0","2","4","2","0","2","22","4","2","0","38","45","4","0","4","0","2","4","2","0","2","22","4","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L5499","SchedulingMode","org.apache.hadoop.mapred.SchedulingMode","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\contrib\fairscheduler\src\java\org\apache\hadoop\mapred\SchedulingMode.java","24","1","26","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0.5","3","3","1","0","0.5","3","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L5949","TaskType","org.apache.hadoop.mapred.TaskType","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\contrib\fairscheduler\src\java\org\apache\hadoop\mapred\TaskType.java","24","1","26","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.5","3","3","1","0","0.5","3","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L14420","Avataar","org.apache.hadoop.mapred.Avataar","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\Avataar.java","21","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","4","2","0","2","0","0","2","0","0","0","0","2","0","0","4","4","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L3911","JobPriority","org.apache.hadoop.mapred.JobPriority","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\JobPriority.java","24","1","32","2","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","1","0.363636","4","4","1","0","0.363636","4","0","0","0","0","0","7","9","5","0","5","0","0","5","0","0","0","0","5","0","0","7","9","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L19812","Locality","org.apache.hadoop.mapred.Locality","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\Locality.java","21","1","26","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6","6","4","0","4","0","0","4","0","0","0","0","4","0","0","6","6","4","0","4","0","0","4","0","0","0","0","4","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L14248","Operation","org.apache.hadoop.mapred.Operation","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\Operation.java","27","1","44","2","0","0","0","0","0","0","0","0","0","0","0","1","2","7","0","0","1","1","0.2","4","4","1","0","0.2","4","0","0","0","0","0","16","18","10","0","10","0","1","10","0","0","1","2","10","0","0","16","18","10","0","10","0","1","10","0","0","1","2","10","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L17942","TIPStatus","org.apache.hadoop.mapred.TIPStatus","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\TIPStatus.java","22","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0.4","2","2","1","0","0.4","2","0","0","0","0","0","3","3","5","0","5","0","0","5","0","0","0","0","5","0","0","3","3","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L58955","Type","org.apache.hadoop.typedbytes.Type","L58942","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\contrib\streaming\src\java\org\apache\hadoop\typedbytes\Type.java","24","1","50","2","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","0","1","1","0.24","6","6","1","0","0.24","6","0","0","0","0","0","19","27","14","0","14","0","1","13","0","0","1","1","13","0","0","19","27","14","0","14","0","1","13","0","0","1","1","13","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L86944","Status","org.apache.hadoop.ipc.Status","L85233","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\core\org\apache\hadoop\ipc\Status.java","23","1","32","2","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","1","1","0.25","3","3","1","0","0.25","3","0","0","0","0","0","9","10","4","0","4","0","1","3","0","0","1","1","3","0","0","9","10","4","0","4","0","1","3","0","0","1","1","3","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L17387","JobACL","org.apache.hadoop.mapreduce.JobACL","L133596","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapreduce\JobACL.java","23","1","53","2","0","0","0","0","0","0","0","0","0","0","0","2","0","10","5","0","2","1","0.62069","18","18","2","0","0.62069","18","0","0","0","0","0","11","31","3","1","3","1","2","2","1","0","2","2","2","1","0","11","31","3","1","3","1","2","2","1","0","2","2","2","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
