"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L151912","ClassWordCount.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/test/testjar/ClassWordCount.java","L151911","1","0","3","0","25","61"
"L151913","CustomOutputCommitter.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/test/testjar/CustomOutputCommitter.java","L151911","1","0","0","1","4","26"
"L151914","ExternalMapperReducer.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/test/testjar/ExternalMapperReducer.java","L151911","3","0","0","5","44","74"
"L151915","ExternalWritable.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/test/testjar/ExternalWritable.java","L151911","5","0","1","8","46","87"
"L151916","GenerateTaskChildProcess.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/test/testjar/GenerateTaskChildProcess.java","L151911","13","0","5","8","201","260"
"L151917","JobKillCommitter.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/test/testjar/JobKillCommitter.java","L151911","1","0","8","10","60","120"
"L151918","UserNamePermission.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/test/testjar/UserNamePermission.java","L151911","3","0","2","4","62","98"
"L152098","ExternalMapReduce.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/test/testshell/ExternalMapReduce.java","L152097","8","0","1","8","104","148"
"L118","HadoopVersionAnnotation.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/core/org/apache/hadoop/HadoopVersionAnnotation.java","L117","1","0","1","0","12","64"
"L62817","InterfaceAudience.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/core/org/apache/hadoop/classification/InterfaceAudience.java","L62816","1","0","4","0","12","48"
"L62818","InterfaceStability.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/core/org/apache/hadoop/classification/InterfaceStability.java","L62816","1","0","4","0","12","49"
"L62844","Configurable.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-1.2.1/src/core/org/apache/hadoop/conf/Configurable.java","L62843","1","0","3","0","5","30"
