"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4595","WeightAdjuster","org.apache.hadoop.mapred.WeightAdjuster","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\contrib\fairscheduler\src\java\org\apache\hadoop\mapred\WeightAdjuster.java","31","1","34","2","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","0","1","0.5","0.636364","7","7","1","1","0.636364","7","0","0","1","1","0","4","4","0","0","0","0","1","0","1","0","1","0","0","1","0","4","4","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14296","AdminOperationsProtocol","org.apache.hadoop.mapred.AdminOperationsProtocol","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\AdminOperationsProtocol.java","30","1","62","2","0","0","0","0","0","0","0","0","0","0","0","3","4","3","7","0","3","1","0.727273","24","24","4","0","0.727273","24","1","1","1","2","1","9","33","1","1","1","0","3","1","3","1","4","0","1","4","1","9","33","1","1","1","0","3","1","3","1","4","0","1","4","1","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0"
"L14435","BufferSorter","org.apache.hadoop.mapred.BufferSorter","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\BufferSorter.java","37","1","74","2","0","0","0","0","0","0","0","0","0","0","0","6","4","1","0","0","6","1","0.822222","37","37","7","0","0.822222","37","1","1","1","2","1","8","38","0","1","0","1","6","0","6","2","7","0","0","7","2","8","38","0","1","0","1","6","0","6","2","7","0","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15827","InputFormat<K extends Object, V extends Object>","org.apache.hadoop.mapred.InputFormat","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\InputFormat.java","65","1","97","2","0","0","0","0","0","0","0","0","0","0","0","2","4","50","21","0","2","1","0.915493","65","65","3","0","0.915493","65","0","0","21","44","0","6","33","0","2","0","2","2","0","2","0","2","0","0","2","0","6","33","0","2","0","2","2","0","2","0","2","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15888","InputSplit","org.apache.hadoop.mapred.InputSplit","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\InputSplit.java","35","1","53","2","0","0","0","0","0","0","0","0","0","0","0","2","1","91","10","0","2","1","0.857143","24","24","3","0","0.857143","24","1","1","16","18","1","4","19","0","2","0","2","2","0","2","0","4","0","0","4","0","4","19","0","2","0","2","2","0","2","0","4","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17102","InterTrackerProtocol","org.apache.hadoop.mapred.InterTrackerProtocol","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\InterTrackerProtocol.java","31","1","157","2","0","0","0","0","0","0","0","0","0","0","0","7","6","3","3","0","7","1","0.814516","101","101","8","0","0.814516","101","1","1","1","2","1","23","127","3","6","3","5","7","3","7","0","8","0","3","8","0","23","127","3","6","3","5","7","3","7","0","8","0","3","8","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0"
"L14573","JobConfigurable","org.apache.hadoop.mapred.JobConfigurable","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\JobConfigurable.java","22","1","28","2","0","0","0","0","0","0","0","0","0","0","0","1","1","16","1","0","1","1","0.625","5","5","2","0","0.625","5","0","0","15","214","0","3","7","0","0","0","0","1","0","1","0","1","0","0","1","0","3","7","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17442","JobSubmissionProtocol","org.apache.hadoop.mapred.JobSubmissionProtocol","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\JobSubmissionProtocol.java","38","1","297","2","0","0","0","0","0","0","0","0","0","0","0","28","20","9","36","0","28","1","0.815126","194","194","29","0","0.815126","194","1","1","2","3","1","44","260","1","22","1","21","28","1","28","1","29","0","1","29","1","44","260","1","22","1","21","28","1","28","1","29","0","1","29","1","0","0","11","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","10","0","0","0","0","0"
"L21995","JobTrackerMXBean","org.apache.hadoop.mapred.JobTrackerMXBean","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\JobTrackerMXBean.java","24","1","71","2","0","0","0","0","0","0","0","0","0","0","0","9","0","1","0","0","9","1","0.731707","30","30","10","0","0.731707","30","0","0","1","2","0","11","48","0","9","0","9","9","0","9","0","9","0","0","9","0","11","48","0","9","0","9","9","0","9","0","9","0","0","9","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L834","Mapper<K1 extends Object, V1 extends Object, K2 extends Object, V2 extends Object>","org.apache.hadoop.mapred.Mapper","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\mapred\org\apache\hadoop\mapred\Mapper.java","131","1","157","2","0","0","0","0","0","0","0","0","0","0","0","1","4","110","6","0","1","1","0.968992","125","125","2","0","0.968992","125","1","2","95","128","2","4","27","0","0","0","0","1","0","1","0","2","0","0","2","0","4","27","0","0","0","0","1","0","1","0","2","0","0","2","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
