"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L71032","TestFuseDFS","TestFuseDFS","L71027","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\main\native\fuse-dfs\test\TestFuseDFS.java","43","1","410","2","0","0","0","0","0","0","0","0","2","2","2","36","5","2","1","7","25","0.777778","0.169492","50","22","7","2","0.149701","50","0","0","0","0","0","245","328","6","0","6","0","18","0","8","0","18","144","0","8","0","284","368","7","0","7","0","21","0","10","0","21","169","0","10","0","0","1","49","14","22","0","0","0","0","0","0","1","0","0","1","0","0","2","47","0","0","0","0","0","13","12","3","0","0","0","0","0","0","2","1","0","0","1","0","2","0","1","0"
"L71091","TestFuseDFS$RedirectToStdoutThread","TestFuseDFS$RedirectToStdoutThread","L71032","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\main\native\fuse-dfs\test\TestFuseDFS.java","141","3","159","4","0","0","0","0","0","0","0","0","1","2","2","4","1","1","1","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","18","19","1","0","1","0","2","0","1","0","2","8","0","1","0","18","19","1","0","1","0","2","0","1","0","2","8","0","1","0","0","0","7","1","4","0","0","0","0","0","0","0","0","0","1","0","0","1","7","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L71136","TestFuseDFS$1","TestFuseDFS$1","L71132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\main\native\fuse-dfs\test\TestFuseDFS.java","373","31","395","3","0","0","0","0","0","0","0","0","1","2","2","4","1","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","23","23","0","0","0","0","1","0","1","0","1","17","0","1","0","23","23","0","0","0","0","1","0","1","0","1","17","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2414","BlockStorageLocation","org.apache.hadoop.fs.BlockStorageLocation","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\fs\BlockStorageLocation.java","29","1","51","2","0","0","0","0","0","0","0","0","0","0","0","2","1","4","3","0","2","0.666667","0.416667","10","9","2","1","0.416667","10","0","0","0","0","0","14","23","1","1","1","1","2","0","2","0","2","3","0","2","0","14","23","1","1","1","1","2","0","2","0","2","3","0","2","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L2427","Hdfs","org.apache.hadoop.fs.Hdfs","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\fs\Hdfs.java","54","1","416","2","0.122754","3","7","3","0.0881543","0.094697","32","25","4","2","2","43","11","2","1","31","61","0.0666667","0.139442","35","26","2","28","0.175","56","0","0","0","0","0","216","300","2","10","2","10","30","0","29","5","30","68","0","29","5","264","363","6","13","6","11","35","0","33","5","41","86","0","37","5","0","0","96","0","2","0","0","0","0","15","0","1","0","0","1","1","0","0","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0"
"L2687","HdfsBlockLocation","org.apache.hadoop.fs.HdfsBlockLocation","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\fs\HdfsBlockLocation.java","31","1","48","2","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2","0","2","0.333333","0.3","6","5","1","2","0.3","6","0","0","0","0","0","14","18","1","1","1","1","2","0","2","0","2","3","0","2","0","14","18","1","1","1","1","2","0","2","0","2","3","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2698","HdfsVolumeId","org.apache.hadoop.fs.HdfsVolumeId","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\fs\HdfsVolumeId.java","33","1","89","2","0","0","0","0","0","0","0","0","2","1","1","12","1","2","5","2","8","0.142857","0.210526","12","7","1","6","0.210526","12","1","1","0","0","1","45","57","2","0","1","0","6","0","6","0","6","17","1","6","0","45","57","2","0","1","0","6","0","6","0","6","17","1","6","0","0","1","18","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0"
"L2750","TestFiListPath","org.apache.hadoop.fs.TestFiListPath","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiListPath.java","47","1","105","2","0","0","0","0","0","0","0","0","1","1","1","9","4","0","0","6","12","0.428571","0.137931","8","8","3","4","0.137931","8","0","0","0","0","0","50","59","5","0","5","0","6","0","6","0","6","23","0","6","0","50","59","5","0","5","0","6","0","6","0","6","23","0","6","0","0","2","15","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","4","1","0","0","0","0","0","0","0","3","1","0","0","0","0","0","2","0","0"
"L2796","TestFiRename","org.apache.hadoop.fs.TestFiRename","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiRename.java","53","1","271","2","0.168766","1","6","2","0.109589","0.147239","24","24","1","2","2","27","3","0","0","9","24","0.818182","0.204878","42","30","9","2","0.204878","42","0","0","0","0","0","163","219","8","2","8","2","15","0","10","0","15","98","0","10","0","163","219","8","2","8","2","15","0","10","0","15","98","0","10","0","0","2","46","9","11","0","0","0","0","15","0","0","0","0","0","0","0","2","29","0","0","0","0","0","4","2","0","0","0","0","0","0","0","5","2","0","0","2","3","0","4","0","0"
"L2986","TestFcHdfsCreateMkdir","org.apache.hadoop.fs.TestFcHdfsCreateMkdir","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsCreateMkdir.java","35","1","75","2","0.566667","1","1","1","0.243902","0.30303","10","10","3","0","0","5","3","0","0","6","11","0","0","0","0","0","5","0","0","0","0","0","0","0","33","41","2","0","2","0","5","0","4","1","5","9","0","4","1","33","41","2","0","2","0","5","0","4","1","5","9","0","4","1","0","0","25","1","1","0","0","0","0","11","0","1","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
