"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L71031","TestFuseDFS.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/native/fuse-dfs/test/TestFuseDFS.java","L71030","24","0","7","2","302","411"
"L123","BlockStorageLocation.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/fs/BlockStorageLocation.java","L122","1","0","2","1","18","52"
"L124","Hdfs.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/fs/Hdfs.java","L122","20","0","2","28","296","417"
"L125","HdfsBlockLocation.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/fs/HdfsBlockLocation.java","L122","1","0","1","2","19","49"
"L126","HdfsVolumeId.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/fs/HdfsVolumeId.java","L122","7","0","1","6","51","90"
"L127","VolumeId.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/fs/VolumeId.java","L122","3","0","2","3","43","92"
"L6688","BlockMissingException.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/BlockMissingException.java","L6687","1","0","4","0","22","66"
"L6689","BlockReader.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/BlockReader.java","L6687","1","0","9","0","13","85"
"L6690","BlockReaderFactory.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/BlockReaderFactory.java","L6687","14","0","3","0","151","257"
"L6691","BlockReaderLocal.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/BlockReaderLocal.java","L6687","44","0","0","0","332","538"
"L6692","BlockReaderLocalLegacy.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/BlockReaderLocalLegacy.java","L6687","52","0","0","0","461","705"
"L6693","BlockReaderUtil.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/BlockReaderUtil.java","L6687","7","0","0","0","28","54"
"L6694","BlockStorageLocationUtil.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/BlockStorageLocationUtil.java","L6687","27","0","0","0","228","339"
"L6695","ByteRangeInputStream.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/ByteRangeInputStream.java","L6687","20","0","6","6","148","232"
"L6696","CorruptFileBlockIterator.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/CorruptFileBlockIterator.java","L6687","5","0","2","3","57","102"
"L6697","DeprecatedUTF8.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DeprecatedUTF8.java","L6687","1","0","4","2","24","66"
"L6698","DFSClient.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSClient.java","L6687","150","0","73","22","1661","2523"
"L6699","DFSClientFaultInjector.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSClientFaultInjector.java","L6687","1","0","1","3","18","46"
"L6700","DFSConfigKeys.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSConfigKeys.java","L6687","1","0","1","0","431","523"
"L6701","DFSInputStream.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSInputStream.java","L6687","150","0","17","11","995","1397"
"L6702","DFSOutputStream.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSOutputStream.java","L6687","219","0","7","5","1399","1953"
"L6703","DFSUtil.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSUtil.java","L6687","138","0","50","7","842","1351"
"L6704","DistributedFileSystem.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DistributedFileSystem.java","L6687","58","0","42","41","1177","1632"
"L6705","DomainSocketFactory.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DomainSocketFactory.java","L6687","20","0","0","0","91","147"
"L6706","FileInputStreamCache.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/FileInputStreamCache.java","L6687","18","0","0","0","176","288"
"L6707","HAUtil.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/HAUtil.java","L6687","13","0","13","2","171","309"
"L6708","HdfsConfiguration.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/HdfsConfiguration.java","L6687","1","0","2","4","68","114"
"L6709","HDFSPolicyProvider.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/HDFSPolicyProvider.java","L6687","1","0","1","1","51","75"
"L6710","HftpFileSystem.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/HftpFileSystem.java","L6687","59","0","4","23","576","757"
"L6711","HsftpFileSystem.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/HsftpFileSystem.java","L6687","9","0","2","1","146","215"
"L6712","LeaseRenewer.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/LeaseRenewer.java","L6687","63","0","0","0","352","512"
"L6713","NameNodeProxies.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/NameNodeProxies.java","L6687","21","0","7","3","325","442"
"L6714","PeerCache.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/PeerCache.java","L6687","28","0","0","0","199","288"
"L6715","RemoteBlockReader.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/RemoteBlockReader.java","L6687","36","0","3","11","295","489"
"L6716","RemoteBlockReader2.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/RemoteBlockReader2.java","L6687","31","0","3","10","278","455"
"L46329","HdfsAdmin.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/client/HdfsAdmin.java","L46328","2","0","8","0","42","125"
"L46330","HdfsDataInputStream.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/client/HdfsDataInputStream.java","L46328","1","0","6","1","32","82"
"L46331","HdfsDataOutputStream.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/client/HdfsDataOutputStream.java","L46328","1","0","3","3","29","80"
"L46332","HdfsUtils.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/client/HdfsUtils.java","L46328","5","0","2","0","50","88"
"L49885","BasicInetPeer.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/net/BasicInetPeer.java","L49884","1","0","0","0","74","129"
"L49886","DomainPeer.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/net/DomainPeer.java","L49884","1","0","1","15","76","118"
"L49887","DomainPeerServer.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/net/DomainPeerServer.java","L49884","4","0","0","8","60","90"
"L49888","EncryptedPeer.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/net/EncryptedPeer.java","L49884","2","0","1","15","91","143"
"L49889","NioInetPeer.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/net/NioInetPeer.java","L49884","1","0","0","0","81","132"
"L49890","Peer.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/net/Peer.java","L49884","1","0","14","0","24","116"
"L49891","PeerServer.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/net/PeerServer.java","L49884","1","0","4","1","12","61"
"L49892","TcpPeerServer.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/net/TcpPeerServer.java","L49884","8","0","3","8","97","157"
"L50207","AlreadyBeingCreatedException.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/protocol/AlreadyBeingCreatedException.java","L50206","1","0","1","1","12","38"
"L50208","Block.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/protocol/Block.java","L50206","13","0","12","17","153","237"
"L50209","BlockListAsLongs.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/protocol/BlockListAsLongs.java","L50206","13","0","11","6","161","324"
"L50210","BlockLocalPathInfo.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/protocol/BlockLocalPathInfo.java","L50206","1","0","6","0","21","71"
"L50211","ClientDatanodeProtocol.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/protocol/ClientDatanodeProtocol.java","L50206","1","0","6","0","28","130"
"L50212","ClientProtocol.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/protocol/ClientProtocol.java","L50206","1","0","55","0","237","1098"
"L50213","CorruptFileBlocks.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/protocol/CorruptFileBlocks.java","L50206","5","0","1","6","40","76"
"L50214","DatanodeID.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/protocol/DatanodeID.java","L50206","6","0","18","7","125","253"
