"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L123","HadoopArchives.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-archives/src/main/java/org/apache/hadoop/tools/HadoopArchives.java","L122","75","0","3","3","666","911"
"L130","TestHadoopArchives.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-archives/src/test/java/org/apache/hadoop/tools/TestHadoopArchives.java","L129","7","0","1","4","173","226"
"L139","CopyListing.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/CopyListing.java","L138","4","0","3","0","85","219"
"L140","DistCp.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/DistCp.java","L138","21","0","5","0","253","425"
"L141","DistCpConstants.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/DistCpConstants.java","L138","1","0","1","0","36","105"
"L142","DistCpOptions.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/DistCpOptions.java","L138","23","0","39","3","246","526"
"L143","DistCpOptionSwitch.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/DistCpOptionSwitch.java","L138","1","0","6","1","78","219"
"L144","FileBasedCopyListing.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/FileBasedCopyListing.java","L138","2","0","3","0","52","101"
"L145","GlobbedCopyListing.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/GlobbedCopyListing.java","L138","6","0","3","0","53","106"
"L146","OptionsParser.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/OptionsParser.java","L138","40","0","2","1","181","251"
"L147","SimpleCopyListing.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/SimpleCopyListing.java","L138","37","0","2","0","195","276"
"L1375","CopyCommitter.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/mapred/CopyCommitter.java","L1374","25","0","4","0","195","298"
"L1376","CopyMapper.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/mapred/CopyMapper.java","L1374","32","0","4","0","231","331"
"L1377","CopyOutputFormat.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/mapred/CopyOutputFormat.java","L1374","7","0","7","0","57","125"
"L1378","RetriableDirectoryCreateCommand.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/mapred/RetriableDirectoryCreateCommand.java","L1374","1","0","2","0","18","57"
"L1379","RetriableFileCopyCommand.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.2.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/mapred/RetriableFileCopyCommand.java","L1374","19","0","4","1","188","267"
