"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L225","void setConf(Configuration conf)","org.apache.hadoop.tools.HadoopArchives.setConf(LConfiguration;)V","L184","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","108","3","122","4","0","0","0","0","0","0","0","0","104.711","17.8125","4319.52","265.231","51","27","239.973","242.499","102.911","60.1818","105.935","61.9504","3","1","1","1","0","0.214286","3","0","0.214286","3","11","15","6","1","11","15","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L235","Configuration getConf()","org.apache.hadoop.tools.HadoopArchives.getConf()LConfiguration;","L184","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","124","3","126","4","0","0","0","0","0","0","0","0","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","HadoopArchives(Configuration conf)","org.apache.hadoop.tools.HadoopArchives.<init>(LConfiguration;)V","L184","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","128","3","130","4","0","0","0","0","0","0","0","0","17.5098","4.5","135","26.3162","10","8","7.5","30","135.286","79.1148","119.578","69.9285","1","0","0","3","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L241","void checkPaths(Configuration conf, List<Path> paths)","org.apache.hadoop.tools.HadoopArchives.checkPaths(LConfiguration;LList;)V","L184","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","133","3","141","4","0","0","0","0","0","0","0","0","111.89","19.5","3843.48","245.367","41","28","213.527","197.102","107.24","62.7132","102.845","60.1436","3","2","2","1","0","0.1","1","1","0.1","1","9","9","4","2","9","9","4","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"L259","void recursivels(FileSystem fs, FileStatusDir fdir, List<FileStatusDir> out)","org.apache.hadoop.tools.HadoopArchives.recursivels(LFileSystem;LFileStatusDir;LList;)V","L184","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","150","3","165","4","0","0","0","0","0","0","0","0","134.039","33","12375","535.012","75","32","687.5","375","94.574","55.3065","98.7633","57.7563","3","2","2","1","3","0.304348","7","7","0.304348","7","16","16","9","3","16","16","9","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L352","boolean checkValidName(String name)","org.apache.hadoop.tools.HadoopArchives.checkValidName(Ljava/lang/String;)Z","L184","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","281","3","289","4","0","0","0","0","0","0","0","0","77.303","9.625","1416.43","126.124","33","22","78.6904","147.161","108.759","63.6018","81.5107","47.6671","3","1","1","1","0","0","0","0","0","0","9","9","6","1","9","9","6","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L356","Path largestDepth(List<Path> paths)","org.apache.hadoop.tools.HadoopArchives.largestDepth(LList;)LPath;","L184","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","292","3","300","4","0","0","0","0","0","0","0","0","64.9126","16.8","2497.78","184.093","35","19","138.766","148.677","108.706","63.5706","81.4338","47.6221","3","2","2","1","0","0","0","0","0","0","9","9","5","1","9","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L360","Path relPathToRoot(Path fullPath, Path root)","org.apache.hadoop.tools.HadoopArchives.relPathToRoot(LPath;LPath;)LPath;","L184","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","308","3","326","4","0","0","0","0","0","0","0","0","113.93","26.6","11242.3","501.847","87","29","624.574","422.644","93.7221","54.8082","99.9854","58.471","4","3","2","2","0","0.36","9","6","0.36","9","16","19","13","2","16","19","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L364","void writeTopLevelDirs(Writer srcWriter, List<Path> paths, Path parentPath)","org.apache.hadoop.tools.HadoopArchives.writeTopLevelDirs(LSequenceFile.Writer;LList;LPath;)V","L184","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","346","3","406","4","0","0","0","0","0","0","0","0","404.404","68.2692","129669","2561.87","304","76","7203.81","1899.37","65.5182","38.3147","59.7915","34.9658","11","5","5","1","4","0.35443","28","18","0.35443","28","51","61","33","3","51","61","33","0","0","2","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L421","void append(Writer srcWriter, long len, String path, String[] children)","org.apache.hadoop.tools.HadoopArchives.append(LSequenceFile.Writer;LLString;[LString;)V","L184","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","408","3","411","4","0","0","0","0","0","0","0","0","75.6096","14.4","1770.98","146.378","28","21","98.3879","122.985","123.289","72.099","102.27","59.8069","1","0","0","2","1","0","0","0","0","0","4","4","1","4","4","4","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
