"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L39622","ContainerLogAppender","org.apache.hadoop.yarn.ContainerLogAppender","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\ContainerLogAppender.java","34","1","105","2","0","0","0","0","0","0","0","0","2","2","2","14","0","0","0","0","8","0.222222","0.121212","8","8","2","7","0.121212","8","0","0","0","0","0","58","72","4","2","4","2","8","0","8","2","8","22","0","8","2","58","72","4","2","4","2","8","0","8","2","8","22","0","8","2","0","0","18","0","3","0","0","0","0","0","0","1","0","0","0","0","0","2","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L12217","YarnUncaughtExceptionHandler","org.apache.hadoop.yarn.YarnUncaughtExceptionHandler","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\YarnUncaughtExceptionHandler.java","39","1","71","2","0","0","0","0","0","0","0","0","1","4","3","6","0","5","0","0","1","0.5","0.317073","13","9","1","1","0.317073","13","0","0","0","0","0","28","33","1","0","1","0","1","0","1","0","1","11","0","1","0","28","33","1","0","1","0","1","0","1","0","1","11","0","1","0","0","2","3","3","2","0","2","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"L32768","MockApps","org.apache.hadoop.yarn.MockApps","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\test\java\org\apache\hadoop\yarn\MockApps.java","31","1","72","2","0","0","0","0","0","0","0","0","5","0","0","5","2","9","14","1","6","0.166667","0.0769231","3","3","1","5","0.0769231","3","0","0","1","1","0","36","42","5","0","5","0","5","0","5","0","5","9","0","5","0","36","42","5","0","5","0","5","0","5","0","5","9","0","5","0","0","0","14","0","5","0","0","0","0","0","0","1","0","0","5","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62892","TestContainerLaunchRPC","org.apache.hadoop.yarn.TestContainerLaunchRPC","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\test\java\org\apache\hadoop\yarn\TestContainerLaunchRPC.java","64","1","169","2","0.178273","1","1","1","0.122642","0.133333","13","12","1","2","2","3","18","1","0","15","17","0.5","0.078125","5","4","1","1","0.0625","6","0","0","0","0","0","59","70","2","0","2","0","2","0","1","0","2","30","0","1","0","90","106","3","1","3","1","5","0","4","0","5","41","0","4","0","0","0","28","8","5","0","0","0","0","9","0","1","0","0","1","2","0","1","16","0","0","0","0","0","1","3","0","0","0","0","0","0","0","1","1","0","0","0","2","0","2","1","0"
"L62923","TestRecordFactory","org.apache.hadoop.yarn.TestRecordFactory","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\test\java\org\apache\hadoop\yarn\TestRecordFactory.java","32","1","57","2","0","0","0","0","0","0","0","0","1","1","1","3","7","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","22","26","0","0","0","0","1","0","1","0","1","11","0","1","0","22","26","0","0","0","0","1","0","1","0","1","11","0","1","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62926","TestRPC","org.apache.hadoop.yarn.TestRPC","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\test\java\org\apache\hadoop\yarn\TestRPC.java","66","1","246","2","0.237127","3","3","3","0.18232","0.197452","33","31","3","1","1","9","27","2","2","29","34","0","0.0333333","4","0","0","5","0.0248447","4","0","0","0","0","0","116","134","3","0","3","0","5","0","4","0","5","60","0","4","0","157","181","4","1","4","1","8","0","7","0","8","78","0","7","0","0","0","45","8","2","0","0","0","0","18","0","2","0","0","0","3","0","1","22","0","0","0","0","0","1","0","3","0","0","0","0","0","0","1","0","0","0","0","2","0","2","0","0"
"L62958","TestRPCFactories","org.apache.hadoop.yarn.TestRPCFactories","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\test\java\org\apache\hadoop\yarn\TestRPCFactories.java","42","1","133","2","0.659004","2","6","2","0.423913","0.5","39","37","1","2","2","8","5","0","0","4","7","0","0","0","0","0","2","0.038961","3","0","0","0","0","0","55","67","0","0","0","0","3","0","1","0","3","32","0","1","0","74","92","0","0","0","0","6","0","4","0","6","35","0","4","0","0","0","38","8","0","0","0","0","0","19","0","1","0","0","0","0","0","0","18","0","0","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"L62976","TestRpcFactoryProvider","org.apache.hadoop.yarn.TestRpcFactoryProvider","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\test\java\org\apache\hadoop\yarn\TestRpcFactoryProvider.java","33","1","77","2","0","0","0","0","0","0","0","0","1","1","1","5","7","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","38","45","0","0","0","0","1","0","1","0","1","25","0","1","0","38","45","0","0","0","0","1","0","1","0","1","25","0","1","0","0","3","5","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62979","TestYarnUncaughtExceptionHandler","org.apache.hadoop.yarn.TestYarnUncaughtExceptionHandler","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\test\java\org\apache\hadoop\yarn\TestYarnUncaughtExceptionHandler.java","29","1","116","2","0.762791","2","5","5","0.443182","0.655172","39","38","1","0","0","3","2","0","0","1","4","0.75","0.361111","26","26","3","1","0.309524","26","0","0","0","0","0","46","76","1","0","1","0","3","0","3","0","3","26","0","3","0","58","88","1","0","1","0","6","0","6","0","6","29","0","6","0","0","0","69","0","4","0","0","0","0","53","0","0","0","0","0","0","0","0","16","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L63098","TestRecordFactory","org.apache.hadoop.yarn.TestRecordFactory","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-common\src\test\java\org\apache\hadoop\yarn\TestRecordFactory.java","30","1","45","2","0.979167","1","2","1","0.75","0.846154","12","11","1","1","1","2","5","0","0","2","3","0","0","0","0","0","3","0","0","0","0","0","0","0","13","16","0","0","0","0","1","0","1","0","1","6","0","1","0","13","16","0","0","0","0","1","0","1","0","1","6","0","1","0","0","0","16","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
