"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L24548","ClassWithNoPackage","ClassWithNoPackage","L24546","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-tools\hadoop-streaming\src\test\java\ClassWithNoPackage.java","19","1","20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.894737","17","17","1","0","0.894737","17","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L184","HadoopArchives","org.apache.hadoop.tools.HadoopArchives","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","78","1","910","2","0","0","0","0","0","0","0","0","1","5","5","63","5","4","1","5","18","0.5","0.213615","91","55","3","3","0.210997","165","0","0","0","0","0","335","464","18","1","18","1","13","1","5","1","13","213","1","5","1","617","833","46","5","46","5","34","1","17","2","34","358","1","17","2","0","2","86","20","71","0","1","1","0","0","0","0","0","7","35","0","0","11","63","1","0","0","0","2","0","1","9","0","0","0","0","0","0","2","20","0","4","16","4","1","1","1","0"
"L663","TestHadoopArchives","org.apache.hadoop.tools.TestHadoopArchives","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-tools\hadoop-archives\src\test\java\org\apache\hadoop\tools\TestHadoopArchives.java","57","1","664","2","0","0","0","0","0","0","0","0","1","5","4","63","1","0","0","1","20","0.142857","0.123214","69","12","1","6","0.123214","69","0","0","0","0","0","491","608","8","0","8","0","19","1","6","1","19","327","1","6","1","491","608","8","0","8","0","19","1","6","1","19","327","1","6","1","0","3","51","12","39","0","2","0","0","0","0","0","0","5","0","0","0","9","41","2","0","3","0","0","27","0","5","0","0","0","0","0","0","1","0","0","0","5","0","0","6","1","0"
"L855","CopyListing","org.apache.hadoop.tools.CopyListing","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\CopyListing.java","42","1","218","2","0","0","0","0","0","0","0","0","1","3","3","13","7","11","22","5","15","1","0.598726","94","93","3","0","0.562874","94","0","0","3","4","0","63","167","1","4","1","4","10","0","2","1","10","30","0","2","1","73","177","1","4","1","4","12","0","4","1","12","32","0","4","1","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L933","DistCp","org.apache.hadoop.tools.DistCp","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCp.java","52","1","424","2","0","0","0","0","0","0","0","0","1","2","2","35","10","4","6","17","33","1","0.32","104","103","5","0","0.309524","104","0","0","0","0","0","221","359","10","3","10","3","16","2","4","0","16","135","2","4","0","232","373","11","3","11","3","18","2","6","0","18","139","2","6","0","0","1","25","8","16","0","0","4","0","0","0","0","0","0","0","0","0","3","19","0","0","0","0","1","0","4","4","0","0","0","0","0","0","2","1","0","0","6","3","0","3","0","0"
"L1094","DistCpConstants","org.apache.hadoop.tools.DistCpConstants","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCpConstants.java","24","1","104","2","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","1","0.593023","51","51","1","0","0.593023","51","0","0","0","0","0","35","81","31","0","31","0","0","31","0","0","0","0","31","0","0","35","81","31","0","31","0","0","31","0","0","0","0","31","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L862","DistCpOptions","org.apache.hadoop.tools.DistCpOptions","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCpOptions.java","35","1","525","2","0","0","0","0","0","0","0","0","2","2","2","60","3","19","49","2","42","0.975","0.467136","199","199","39","1","0.455378","199","0","0","0","0","0","227","479","17","9","17","9","40","0","39","14","40","92","0","39","14","238","491","22","10","22","10","41","5","40","14","41","96","5","40","14","0","0","33","2","6","0","0","0","0","0","0","1","0","1","0","0","0","1","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","17","0","0","1","0","0"
"L925","FileBasedCopyListing","org.apache.hadoop.tools.FileBasedCopyListing","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\FileBasedCopyListing.java","38","1","100","2","0","0","0","0","0","0","0","0","2","2","2","7","4","2","2","8","14","1","0.33871","21","21","3","0","0.33871","21","1","1","0","0","1","41","63","2","4","1","2","6","0","2","0","12","18","0","3","1","41","63","2","4","1","2","6","0","2","0","12","18","0","3","1","0","0","9","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L920","GlobbedCopyListing","org.apache.hadoop.tools.GlobbedCopyListing","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\GlobbedCopyListing.java","37","1","105","2","0","0","0","0","0","0","0","0","2","3","3","10","4","5","7","9","14","1","0.333333","21","21","3","0","0.333333","21","1","1","0","0","1","42","69","3","4","2","2","5","0","2","0","11","17","0","3","1","42","69","3","4","2","2","5","0","2","0","11","17","0","3","1","0","0","7","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"L2516","OptionsParser","org.apache.hadoop.tools.OptionsParser","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\OptionsParser.java","33","1","250","2","0.130761","1","6","2","0.119266","0.149425","26","26","1","3","3","40","4","2","24","18","21","0.666667","0.0944444","17","12","2","1","0.0890052","17","0","0","0","0","0","163","207","2","1","2","1","3","0","2","0","3","89","0","2","0","174","218","2","1","2","1","4","0","2","0","4","95","0","2","0","0","0","29","0","4","0","0","0","0","9","0","0","0","1","0","1","0","1","14","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0"
