ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Runtime Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules
L25176,ClassWithNoPackage,ClassWithNoPackage,L25174,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-tools\hadoop-streaming\src\test\java\ClassWithNoPackage.java,19,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.894737,17,17,1,0,0.894737,17,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L188,HadoopArchives,org.apache.hadoop.tools.HadoopArchives,L107,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java,78,1,910,2,0,0,0,0,0,0,0,0,1,5,5,63,5,4,1,5,18,0.5,0.213615,91,55,3,3,0.210997,165,0,0,0,0,0,335,464,18,1,18,1,13,1,5,1,13,213,1,5,1,617,833,46,5,46,5,34,1,17,2,34,358,1,17,2,0,2,86,20,71,0,1,1,0,0,0,0,0,7,35,0,0,11,63,1,0,0,0,2,0,1,9,0,0,0,0,0,0,2,20,0,4,16,4,1,1,1,0
L667,TestHadoopArchives,org.apache.hadoop.tools.TestHadoopArchives,L107,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-tools\hadoop-archives\src\test\java\org\apache\hadoop\tools\TestHadoopArchives.java,57,1,664,2,0,0,0,0,0,0,0,0,1,5,4,63,1,0,0,1,20,0.142857,0.123214,69,12,1,6,0.123214,69,0,0,0,0,0,491,608,8,0,8,0,19,1,6,1,19,327,1,6,1,491,608,8,0,8,0,19,1,6,1,19,327,1,6,1,0,3,51,12,39,0,2,0,0,0,0,0,0,5,0,0,0,9,41,2,0,3,0,0,27,0,5,0,0,0,0,0,0,1,0,0,0,5,0,0,6,1,0
L859,CopyListing,org.apache.hadoop.tools.CopyListing,L107,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\CopyListing.java,46,1,275,2,0,0,0,0,0,0,0,0,1,4,4,19,9,12,23,7,17,1,0.497462,98,97,3,0,0.451613,98,0,0,3,6,0,99,210,1,4,1,4,10,0,2,1,10,53,0,2,1,119,230,1,4,1,4,14,0,6,1,14,57,0,6,1,0,0,26,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L903,CopyListingFileStatus,org.apache.hadoop.tools.CopyListingFileStatus,L107,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\CopyListingFileStatus.java,48,1,218,2,0,0,0,0,0,0,0,0,1,4,4,27,0,22,28,0,11,0.583333,0.236025,38,37,7,5,0.236025,38,0,0,0,0,0,123,171,7,2,7,2,11,0,11,2,11,64,0,11,2,123,171,7,2,7,2,11,0,11,2,11,64,0,11,2,0,0,17,0,9,0,0,0,0,0,0,0,0,3,2,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0
L1056,DistCp,org.apache.hadoop.tools.DistCp,L107,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCp.java,54,1,450,2,0,0,0,0,0,0,0,0,1,2,2,40,13,7,10,21,38,1,0.307692,108,107,6,0,0.298343,108,0,0,0,0,0,243,383,10,3,10,3,17,2,5,1,17,149,2,5,1,254,397,11,3,11,3,19,2,7,1,19,153,2,7,1,0,1,26,8,17,0,0,4,0,0,0,0,0,0,0,1,0,4,19,0,0,0,0,1,0,4,4,0,0,0,0,0,0,2,1,0,0,6,3,0,3,0,0
L1232,DistCpConstants,org.apache.hadoop.tools.DistCpConstants,L107,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCpConstants.java,24,1,131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0.518519,56,56,1,0,0.518519,56,0,0,0,0,0,52,108,44,0,44,0,0,44,0,0,0,0,44,0,0,52,108,44,0,44,0,0,44,0,0,0,0,44,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
L866,DistCpOptions,org.apache.hadoop.tools.DistCpOptions,L107,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCpOptions.java,35,1,575,2,0,0,0,0,0,0,0,0,2,2,2,69,3,21,56,2,46,0.977273,0.458599,216,216,43,1,0.448133,216,0,0,0,0,0,255,529,19,10,19,10,44,0,43,16,44,104,0,43,16,266,541,27,11,27,11,45,8,44,16,45,108,8,44,16,0,0,38,2,8,0,0,0,0,0,0,1,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,20,0,0,1,0,0
L960,FileBasedCopyListing,org.apache.hadoop.tools.FileBasedCopyListing,L107,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\FileBasedCopyListing.java,38,1,100,2,0,0,0,0,0,0,0,0,2,2,2,7,4,2,1,8,14,1,0.33871,21,21,3,0,0.33871,21,1,1,0,0,1,41,63,2,4,1,2,6,0,2,0,12,18,0,3,1,41,63,2,4,1,2,6,0,2,0,12,18,0,3,1,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L955,GlobbedCopyListing,org.apache.hadoop.tools.GlobbedCopyListing,L107,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\GlobbedCopyListing.java,37,1,105,2,0,0,0,0,0,0,0,0,2,3,3,10,4,5,6,9,14,1,0.333333,21,21,3,0,0.333333,21,1,1,0,0,1,42,69,3,4,2,2,5,0,2,0,11,17,0,3,1,42,69,3,4,2,2,5,0,2,0,11,17,0,3,1,0,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
