"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L123","DfsTask.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-ant/src/main/java/org/apache/hadoop/ant/DfsTask.java","L122","19","0","8","0","115","211"
"L126","DfsBaseConditional.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-ant/src/main/java/org/apache/hadoop/ant/condition/DfsBaseConditional.java","L125","1","0","1","2","25","69"
"L127","DfsExists.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-ant/src/main/java/org/apache/hadoop/ant/condition/DfsExists.java","L125","1","0","0","1","5","25"
"L128","DfsIsDir.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-ant/src/main/java/org/apache/hadoop/ant/condition/DfsIsDir.java","L125","1","0","0","1","5","25"
"L129","DfsZeroLen.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-ant/src/main/java/org/apache/hadoop/ant/condition/DfsZeroLen.java","L125","1","0","0","1","5","25"
"L348","HadoopArchives.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-archives/src/main/java/org/apache/hadoop/tools/HadoopArchives.java","L347","76","0","3","3","672","919"
"L355","TestHadoopArchives.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-archives/src/test/java/org/apache/hadoop/tools/TestHadoopArchives.java","L354","45","0","1","7","551","706"
"L364","CopyListing.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/CopyListing.java","L363","10","0","3","4","134","276"
"L365","CopyListingFileStatus.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/CopyListingFileStatus.java","L363","18","0","7","5","143","219"
"L366","DistCp.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/DistCp.java","L363","25","0","6","0","276","451"
"L367","DistCpConstants.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/DistCpConstants.java","L363","1","0","1","0","56","138"
"L368","DistCpOptions.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/DistCpOptions.java","L363","28","0","45","3","283","595"
"L369","DistCpOptionSwitch.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/DistCpOptionSwitch.java","L363","1","0","6","1","89","234"
"L370","FileBasedCopyListing.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.6.0/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/FileBasedCopyListing.java","L363","2","0","3","0","52","101"
