"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L146","void execute()","org.apache.hadoop.maven.plugin.protoc.ProtocMojo.execute()V","L127","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocMojo.java","52","3","108","4","0","0","0","0","0","0","0","0","420.107","46.3235","83223.8","1906.19","285","79","4623.54","1796.58","63.3157","37.0267","17.0698","9.98234","14","4","4","0","3","0","0","0","0","0","57","57","36","0","57","57","36","0","0","4","1","1","0","1","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L174","Exec(Mojo mojo)","org.apache.hadoop.maven.plugin.util.Exec.<init>(LMojo;)V","L171","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","37","3","39","4","0","0","0","0","0","0","0","0","24.4064","4.66667","186.028","32.5876","12","10","10.3349","39.8631","133.808","78.2504","165.124","96.5639","1","0","0","2","0","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L176","int run(List<String> command, List<String> output)","org.apache.hadoop.maven.plugin.util.Exec.run(Ljava/util/List;Ljava/util/List;)I","L171","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","49","3","72","4","0","0","0","0","0","0","0","0","225.068","40.7","31595.8","999.432","139","48","1755.32","776.31","83.9919","49.118","80.8525","47.2821","4","3","3","2","2","0.25","8","8","0.25","8","24","24","18","2","24","24","18","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L301","String getCommaSeparatedList(List list)","org.apache.hadoop.maven.plugin.util.FileSetUtils.getCommaSeparatedList(Ljava/util/List;)Ljava/lang/String;","L298","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\FileSetUtils.java","36","3","44","4","0","0","0","0","0","0","0","0","94.7101","16.7143","3415.22","226.784","44","25","189.735","204.33","107.282","62.7382","122.006","71.3487","2","1","1","1","0","0.4375","7","7","0.4375","7","9","9","6","1","9","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L193","List<File> convertFileSetToFiles(FileSet source)","org.apache.hadoop.maven.plugin.util.FileSetUtils.convertFileSetToFiles(LFileSet;)LList;","L298","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\FileSetUtils.java","53","3","58","4","0","0","0","0","0","0","0","0","86.6683","18","3175.54","216.045","39","23","176.419","176.419","114.845","67.1606","135.451","79.2113","1","0","0","2","1","0.538462","7","7","0.538462","7","6","6","3","1","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L358","void execute()","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.execute()V","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","79","3","91","4","0","0","0","0","0","0","0","0","126.637","22","6866.52","361.264","63","31","381.473","312.114","99.1223","57.9663","67.506","39.4772","2","1","1","0","6","0","0","0","0","0","13","13","8","0","13","13","8","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L363","String getBuildTime()","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.getBuildTime()Ljava/lang/String;","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","98","3","102","4","0","0","0","0","0","0","0","0","77.4869","12.75","1792.07","147.538","32","21","99.5592","140.554","118.98","69.579","140.509","82.1693","1","0","0","1","0","0.5","5","5","0.5","5","5","5","3","0","5","5","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L359","SCM determineSCM()","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.determineSCM()Lorg/apache/hadoop/maven/plugin/versioninfo/VersionInfoMojo$SCM;","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","112","3","142","4","0","0","0","0","0","0","0","0","263.093","32.3462","31977.8","1007.47","171","55","1776.55","988.612","78.1286","45.6893","68.4753","40.044","6","4","4","1","2","0.184211","7","7","0.184211","7","31","31","21","0","31","31","21","0","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L409","String[] getSvnUriInfo(String str)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.getSvnUriInfo(Ljava/lang/String;)[Ljava/lang/String;","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","150","3","175","4","0","0","0","0","0","0","0","0","250.702","24.5536","20111.7","739.546","143","53","1117.31","819.093","82.1862","48.0621","74.4593","43.5435","5","4","4","2","0","0.1875","6","6","0.1875","6","26","26","17","1","26","26","17","0","0","3","2","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"L366","String getSCMUri(SCM scm)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.getSCMUri(Lorg/apache/hadoop/maven/plugin/versioninfo/VersionInfoMojo$SCM;)Ljava/lang/String;","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","183","3","206","4","0.376238","1","4","1","0.416667","0.416667","10","10","179.526","22.5882","12948.9","551.427","107","41","719.383","573.258","84.6486","49.5021","79.1713","46.299","8","3","3","1","1","0.2","6","6","0.2","6","24","24","15","1","24","24","15","0","0","8","1","1","0","0","0","0","6","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L372","String getSCMCommit(SCM scm)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.getSCMCommit(Lorg/apache/hadoop/maven/plugin/versioninfo/VersionInfoMojo$SCM;)Ljava/lang/String;","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","214","3","235","4","0","0","0","0","0","0","0","0","123.164","15.2308","5734.67","320.385","76","31","318.593","376.519","88.4741","51.7392","85.5145","50.0085","7","3","3","1","0","0.214286","6","6","0.214286","6","22","22","13","1","22","22","13","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L369","String getSCMBranch(SCM scm)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.getSCMBranch(Lorg/apache/hadoop/maven/plugin/versioninfo/VersionInfoMojo$SCM;)Ljava/lang/String;","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","243","3","265","4","0.487179","1","4","1","0.434783","0.434783","10","10","139.742","17.8571","7631.19","387.61","84","34","423.955","427.347","87.0955","50.933","83.053","48.569","7","3","3","1","1","0.206897","6","6","0.206897","6","23","23","14","1","23","23","14","0","0","8","1","1","0","0","0","0","6","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L432","byte[] readFile(File file)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.readFile(Ljava/io/File;)[B","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","274","3","280","4","0","0","0","0","0","0","0","0","92.3203","20.9","4407.98","268.84","46","24","244.888","210.908","111.419","65.1572","129.601","75.7901","1","0","0","1","0","0.5","7","7","0.5","7","7","7","5","1","7","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L450","byte[] computeMD5(List<File> files)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.computeMD5(Ljava/util/List;)[B","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","291","3","298","4","0","0","0","0","0","0","0","0","119.552","21.0833","4506.59","272.834","44","29","250.366","213.751","108.956","63.717","126.854","74.1836","2","1","1","1","1","0.529412","9","9","0.529412","9","8","8","5","1","8","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L466","String byteArrayToString(byte[] array)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.byteArrayToString([B)Ljava/lang/String;","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","306","3","312","4","0","0","0","0","0","0","0","0","92.3203","17.1","2900.91","203.402","37","24","161.161","169.644","112.321","65.6848","129.98","76.0118","2","1","1","1","0","0.461538","6","6","0.461538","6","7","7","4","1","7","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L375","String computeMD5()","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.computeMD5()Ljava/lang/String;","L329","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","321","3","340","4","0","0","0","0","0","0","0","0","129.691","20.5714","5299.57","303.968","52","31","294.421","257.618","106.307","62.168","122.86","71.8477","1","0","0","1","3","0.526316","10","7","0.384615","10","9","12","6","0","16","20","8","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L237","OutputBufferThread(InputStream is)","org.apache.hadoop.maven.plugin.util.Exec$OutputBufferThread.<init>(Ljava/io/InputStream;)V","L234","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","87","5","91","6","0","0","0","0","0","0","0","0","86.6683","10.8","1612.2","137.492","33","23","89.5665","149.278","118.667","69.3959","140.058","81.9051","1","0","0","1","0","0.5","5","5","0.5","5","5","5","3","1","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
