"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L272","void execute()","org.apache.hadoop.maven.plugin.protoc.ProtocMojo.execute()V","L128","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocMojo.java","174","3","269","4","0","0","0","0","0","0","0","0","614.398","57.6442","165158","3010.23","425","107","9175.43","2865.12","52.6584","30.7944","19.9734","11.6803","20","4","4","0","7","0.0543478","5","0","0.0543478","5","87","96","59","0","87","96","59","0","0","5","1","1","0","1","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"L293","Exec(Mojo mojo)","org.apache.hadoop.maven.plugin.util.Exec.<init>(LMojo;)V","L290","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","39","3","41","4","0","0","0","0","0","0","0","0","24.4064","4.66667","186.028","32.5876","12","10","10.3349","39.8631","133.808","78.2504","165.124","96.5639","1","0","0","2","0","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L295","int run(List<String> command, List<String> output)","org.apache.hadoop.maven.plugin.util.Exec.run(Ljava/util/List;Ljava/util/List;)I","L290","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","51","3","53","4","0","0","0","0","0","0","0","0","46.0537","8.25","644.637","74.6237","20","15","35.8132","78.1378","130.308","76.2038","160.846","94.0622","1","0","0","2","1","0.727273","8","8","0.727273","8","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L333","int run(List<String> command, List<String> output, List<String> errors)","org.apache.hadoop.maven.plugin.util.Exec.run(Ljava/util/List;Ljava/util/List;Ljava/util/List;)I","L290","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","64","3","91","4","0","0","0","0","0","0","0","0","235.952","40.7647","36121","1092.71","157","50","2006.72","886.085","80.5769","47.121","75.6489","44.2391","5","3","3","2","2","0.243243","9","9","0.243243","9","28","28","20","3","28","28","20","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L434","void addEnvironment(ProcessBuilder pb, Map<String, String> env)","org.apache.hadoop.maven.plugin.util.Exec.addEnvironment(Ljava/lang/ProcessBuilder;Ljava/util/Map;)V","L290","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","145","3","158","4","0","0","0","0","0","0","0","0","132.571","23","7935","397.83","69","32","440.833","345","96.9408","56.6905","102.078","59.6947","4","2","2","0","0","0.3","6","6","0.3","6","14","14","8","2","14","14","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L455","String envToString(Map<String, String> env)","org.apache.hadoop.maven.plugin.util.Exec.envToString(Ljava/util/Map;)Ljava/lang/String;","L290","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","167","3","182","4","0","0","0","0","0","0","0","0","164.202","23.0769","11505.1","509.635","95","38","639.171","498.553","92.8632","54.3059","96.3969","56.3724","4","3","3","0","0","0.304348","7","7","0.304348","7","16","16","10","1","16","16","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L461","String getCommaSeparatedList(List<String> list)","org.apache.hadoop.maven.plugin.util.FileSetUtils.getCommaSeparatedList(Ljava/util/List;)Ljava/lang/String;","L458","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\FileSetUtils.java","36","3","44","4","0","0","0","0","0","0","0","0","100.362","17.6429","3814.74","244.143","46","26","211.93","216.22","106.988","62.5662","121.582","71.1006","2","1","1","1","0","0.4375","7","7","0.4375","7","9","9","6","1","9","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L319","List<File> convertFileSetToFiles(FileSet source)","org.apache.hadoop.maven.plugin.util.FileSetUtils.convertFileSetToFiles(LFileSet;)LList;","L458","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\FileSetUtils.java","53","3","58","4","0","0","0","0","0","0","0","0","86.6683","18","3175.54","216.045","39","23","176.419","176.419","114.845","67.1606","135.451","79.2113","1","0","0","2","1","0.538462","7","7","0.538462","7","6","6","3","1","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L504","void execute()","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.execute()V","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","79","3","91","4","0","0","0","0","0","0","0","0","126.637","22","6866.52","361.264","63","31","381.473","312.114","99.1223","57.9663","67.506","39.4772","2","1","1","0","6","0","0","0","0","0","13","13","8","0","13","13","8","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L509","String getBuildTime()","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo.getBuildTime()Ljava/lang/String;","L475","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","98","3","102","4","0","0","0","0","0","0","0","0","77.4869","12.75","1792.07","147.538","32","21","99.5592","140.554","118.98","69.579","140.509","82.1693","1","0","0","1","0","0.5","5","5","0.5","5","5","5","3","0","5","5","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
