ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Runtime Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules
L39227,ClassWithNoPackage,ClassWithNoPackage,L39225,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-tools\hadoop-streaming\src\test\java\ClassWithNoPackage.java,19,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.894737,17,17,1,0,0.894737,17,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L133,DfsTask,org.apache.hadoop.ant.DfsTask,L107,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java,40,1,220,2,0,0,0,0,0,0,0,0,1,3,3,29,0,1,3,0,10,1,0.350318,55,54,8,0,0.341463,56,0,0,1,4,0,102,175,12,0,12,0,10,0,7,6,10,51,0,7,6,108,181,12,0,12,0,13,0,10,6,13,53,0,10,6,0,1,18,2,26,0,1,9,0,0,0,1,0,0,0,0,0,11,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,2,1,0,0
L447,HadoopArchiveLogs,org.apache.hadoop.tools.HadoopArchiveLogs,L344,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-tools\hadoop-archive-logs\src\main\java\org\apache\hadoop\tools\HadoopArchiveLogs.java,71,1,598,2,0.0465116,1,3,1,0.0397727,0.0407725,21,19,1,8,8,70,3,1,5,4,16,0.166667,0.0656109,29,24,1,5,0.0585859,29,0,0,0,0,0,413,466,22,1,22,1,12,0,5,1,12,218,0,5,1,466,528,25,4,25,4,20,0,12,2,20,240,0,12,2,0,4,71,6,57,0,0,0,0,9,0,0,0,9,12,0,0,5,47,0,0,0,0,4,0,19,21,0,0,0,0,0,0,0,2,0,0,6,1,1,2,0,0
L656,HadoopArchiveLogsRunner,org.apache.hadoop.tools.HadoopArchiveLogsRunner,L344,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-tools\hadoop-archive-logs\src\main\java\org\apache\hadoop\tools\HadoopArchiveLogsRunner.java,48,1,224,2,0.138439,1,3,1,0.118644,0.124183,21,19,1,2,2,16,1,3,2,2,9,0.166667,0.0764331,12,4,1,5,0.0727273,12,0,0,0,0,0,145,169,16,1,16,1,7,0,5,1,7,78,0,5,1,153,177,16,1,16,1,9,0,7,1,9,80,0,7,1,0,2,39,9,7,0,0,0,0,9,0,0,0,0,0,0,0,3,27,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2,0
L759,TestHadoopArchiveLogs,org.apache.hadoop.tools.TestHadoopArchiveLogs,L344,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-tools\hadoop-archive-logs\src\test\java\org\apache\hadoop\tools\TestHadoopArchiveLogs.java,46,1,404,2,0.168157,3,7,5,0.153203,0.169753,55,55,3,2,2,13,2,0,0,9,18,0.142857,0.0595238,20,6,1,6,0.0581395,20,0,0,0,0,0,316,351,4,0,4,0,9,0,6,0,9,214,0,6,0,324,359,4,0,4,0,10,0,7,0,10,217,0,7,0,0,0,51,11,1,0,0,0,0,25,0,1,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,7,0,0
L828,TestHadoopArchiveLogsRunner,org.apache.hadoop.tools.TestHadoopArchiveLogsRunner,L344,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-tools\hadoop-archive-logs\src\test\java\org\apache\hadoop\tools\TestHadoopArchiveLogsRunner.java,45,1,157,2,0.0615836,1,3,1,0.0973451,0.102804,11,11,1,2,2,6,1,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,103,109,2,0,2,0,2,0,1,0,2,63,0,1,0,107,113,2,0,2,0,3,0,2,0,3,64,0,2,0,0,0,21,2,18,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
L659,HadoopArchives,org.apache.hadoop.tools.HadoopArchives,L344,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java,84,1,950,2,0,0,0,0,0,0,0,0,1,5,5,66,5,6,4,5,19,0.5,0.204793,94,57,3,3,0.206135,168,0,0,0,0,0,365,499,24,1,24,1,14,1,5,1,14,227,1,5,1,647,867,54,5,54,5,35,1,17,2,35,372,1,17,2,0,2,89,16,74,0,1,1,0,0,0,0,0,6,37,0,0,12,67,1,0,0,0,2,0,1,5,0,0,0,0,0,0,2,20,0,4,16,4,1,1,1,0
L1263,TestHadoopArchives,org.apache.hadoop.tools.TestHadoopArchives,L344,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-tools\hadoop-archives\src\test\java\org\apache\hadoop\tools\TestHadoopArchives.java,59,1,806,2,0.0463423,1,2,2,0.0454545,0.0403361,34,24,1,5,4,74,1,0,0,1,27,0.0909091,0.121123,82,16,1,10,0.121123,82,0,0,0,0,0,595,748,8,0,8,0,26,1,10,1,26,403,1,10,1,595,748,8,0,8,0,26,1,10,1,26,403,1,10,1,0,3,82,27,47,0,2,0,0,16,0,0,0,5,0,0,0,9,55,2,0,10,0,0,28,0,9,0,0,0,0,0,0,1,0,0,0,6,0,3,13,2,0
L1448,CopyFilter,org.apache.hadoop.tools.CopyFilter,L344,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\CopyFilter.java,27,1,60,2,0,0,0,0,0,0,0,0,1,1,1,4,3,3,2,1,4,1,0.588235,20,20,4,0,0.588235,20,0,0,2,2,0,14,34,0,1,0,1,3,0,3,0,3,5,0,3,0,14,34,0,1,0,1,3,0,3,0,3,5,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1473,CopyListing,org.apache.hadoop.tools.CopyListing,L344,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\CopyListing.java,48,1,288,2,0,0,0,0,0,0,0,0,1,4,4,21,9,12,27,8,18,1,0.478049,98,97,3,0,0.429825,98,0,0,3,4,0,107,217,2,4,2,4,10,0,2,1,10,58,0,2,1,130,241,2,4,2,4,15,0,7,1,15,63,0,7,1,0,0,28,1,4,0,0,0,0,0,0,0,0,2,1,0,0,0,26,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
