"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L61121","AccessType","org.apache.hadoop.yarn.security.AccessType","L95440","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\security\AccessType.java","27","1","33","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","1","0.4","4","4","1","0","0.4","4","0","0","0","0","0","6","7","2","0","2","0","0","2","0","0","0","0","2","0","0","6","7","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L508","ApplicationConstants$Environment","org.apache.hadoop.yarn.api.ApplicationConstants$Environment","L485","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\ApplicationConstants.java","113","3","285","4","0","0","0","0","0","0","0","0","1","1","1","6","1","10","8","0","5","0.6","0.684211","104","104","3","2","0.684211","104","0","0","0","0","0","48","173","24","0","24","0","5","23","4","0","5","7","23","4","0","48","173","24","0","24","0","5","23","4","0","5","7","23","4","0","0","0","14","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","7","0","0","0","0","0"
"L1053","ApplicationsRequestScope","org.apache.hadoop.yarn.api.protocolrecords.ApplicationsRequestScope","L673","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\protocolrecords\ApplicationsRequestScope.java","27","1","38","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0.461538","6","6","1","0","0.461538","6","0","0","0","0","0","7","12","3","0","3","0","0","3","0","0","0","0","3","0","0","7","12","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L892","AMCommand","org.apache.hadoop.yarn.api.records.AMCommand","L5769","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\AMCommand.java","34","1","59","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0.793103","23","23","1","0","0.793103","23","0","0","0","0","0","6","26","2","0","2","0","0","2","0","0","0","0","2","0","0","6","26","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1746","ApplicationAccessType","org.apache.hadoop.yarn.api.records.ApplicationAccessType","L5769","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\ApplicationAccessType.java","26","1","42","2","0","0","0","0","0","0","0","0","0","0","0","0","0","57","0","0","0","1","0.666667","12","12","1","0","0.666667","12","0","0","0","0","0","6","17","2","0","2","0","0","2","0","0","0","0","2","0","0","6","17","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L6762","ContainerState","org.apache.hadoop.yarn.api.records.ContainerState","L5769","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\ContainerState.java","27","1","38","2","0","0","0","0","0","0","0","0","0","0","0","0","0","96","0","0","0","1","0.461538","6","6","1","0","0.461538","6","0","0","0","0","0","7","12","3","0","3","0","0","3","0","0","0","0","3","0","0","7","12","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L6934","ContainerUpdateType","org.apache.hadoop.yarn.api.records.ContainerUpdateType","L5769","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\ContainerUpdateType.java","27","1","40","2","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","1","0.6","9","9","1","0","0.6","9","0","0","0","0","0","6","14","2","0","2","0","0","2","0","0","0","0","2","0","0","6","14","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L6950","DecommissionType","org.apache.hadoop.yarn.api.records.DecommissionType","L5769","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\DecommissionType.java","20","1","29","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0.375","3","3","0","1","0.375","3","0","0","0","0","0","5","10","3","0","3","0","0","3","0","0","0","0","3","0","0","5","10","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1102","FinalApplicationStatus","org.apache.hadoop.yarn.api.records.FinalApplicationStatus","L5769","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\FinalApplicationStatus.java","27","1","45","2","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","1","0.470588","8","8","1","0","0.470588","8","0","0","0","0","0","9","19","5","0","5","0","0","5","0","0","0","0","5","0","0","9","19","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L6994","LocalResourceType","org.apache.hadoop.yarn.api.records.LocalResourceType","L5769","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\LocalResourceType.java","48","1","70","2","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","1","0.837209","36","36","1","0","0.837209","36","0","0","0","0","0","7","23","3","0","3","0","0","3","0","0","0","0","3","0","0","7","23","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
