"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L116","Null","Null","L104","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop_2.8.3\hadoop-rel-release-2.8.3\hadoop-mapreduce-project\dev-support\jdiff\Null.java","18","1","20","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.85","17","17","1","1","0.85","17","0","0","0","0","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"L136","CustomOutputCommitter","org.apache.hadoop.CustomOutputCommitter","L126","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop_2.8.3\hadoop-rel-release-2.8.3\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-app\src\main\java\org\apache\hadoop\CustomOutputCommitter.java","31","1","85","2","0","0","0","0","0","0","0","0","2","0","0","8","0","0","0","0","8","0","0","0","0","0","8","0","0","0","0","0","0","0","46","55","6","0","6","0","8","6","7","0","8","13","6","7","0","46","55","6","0","6","0","8","6","7","0","8","13","6","7","0","0","0","25","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","19","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L206","LocalContainerLauncher","org.apache.hadoop.mapred.LocalContainerLauncher","L194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop_2.8.3\hadoop-rel-release-2.8.3\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-app\src\main\java\org\apache\hadoop\mapred\LocalContainerLauncher.java","77","1","650","2","0","0","0","0","0","0","0","0","2","1","1","18","5","2","2","2","9","0.142857","0.308219","45","17","1","6","0.261036","136","1","1","0","0","1","101","176","11","0","11","0","7","0","6","1","7","47","0","6","1","385","574","15","12","15","12","27","0","22","1","27","187","0","22","1","0","0","69","22","33","0","0","2","0","0","0","1","0","6","1","2","0","7","52","0","0","0","0","0","0","21","11","0","0","0","0","0","0","1","3","0","1","8","5","0","3","0","0"
"L575","MapReduceChildJVM","org.apache.hadoop.mapred.MapReduceChildJVM","L194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop_2.8.3\hadoop-rel-release-2.8.3\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-app\src\main\java\org\apache\hadoop\mapred\MapReduceChildJVM.java","36","1","218","2","0.112583","1","2","2","0.136612","0.208333","25","25","0","2","2","15","1","1","1","0","5","0","0.272727","45","0","0","3","0.272727","45","0","0","0","0","0","120","183","0","4","0","4","5","0","2","1","5","60","0","2","1","120","183","0","4","0","4","5","0","2","1","5","60","0","2","1","0","0","19","1","3","0","1","0","0","10","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L655","MapTaskAttemptImpl","org.apache.hadoop.mapred.MapTaskAttemptImpl","L194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop_2.8.3\hadoop-rel-release-2.8.3\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-app\src\main\java\org\apache\hadoop\mapred\MapTaskAttemptImpl.java","35","1","64","2","0","0","0","0","0","0","0","0","1","0","0","2","3","1","1","2","4","0","0.0740741","2","0","0","3","0.0740741","2","2","2","0","0","1","25","30","54","26","1","0","2","0","2","0","59","6","1","27","4","25","30","54","26","1","0","2","0","2","0","59","6","1","27","4","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L686","ReduceTaskAttemptImpl","org.apache.hadoop.mapred.ReduceTaskAttemptImpl","L194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop_2.8.3\hadoop-rel-release-2.8.3\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-app\src\main\java\org\apache\hadoop\mapred\ReduceTaskAttemptImpl.java","34","1","63","2","0","0","0","0","0","0","0","0","1","0","0","2","3","1","1","2","4","0","0.0740741","2","0","0","3","0.0740741","2","2","2","0","0","1","25","30","54","26","1","0","2","0","2","0","59","6","1","27","4","25","30","54","26","1","0","2","0","2","0","59","6","1","27","4","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L703","TaskAttemptListenerImpl","org.apache.hadoop.mapred.TaskAttemptListenerImpl","L194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop_2.8.3\hadoop-rel-release-2.8.3\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-app\src\main\java\org\apache\hadoop\mapred\TaskAttemptListenerImpl.java","66","1","501","2","0.170787","2","4","4","0.114679","0.135231","50","38","3","2","2","42","13","1","1","15","41","0.15","0.250667","94","29","3","17","0.250667","94","1","1","0","0","1","281","436","12","5","12","5","26","0","19","0","26","111","0","19","0","281","436","12","5","12","5","26","0","19","0","26","111","0","19","0","0","0","66","5","29","0","1","0","0","25","0","1","0","0","1","1","0","7","35","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","1","0","1","4","0","0","3","0","0"
"L724","WrappedJvmID","org.apache.hadoop.mapred.WrappedJvmID","L194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop_2.8.3\hadoop-rel-release-2.8.3\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-app\src\main\java\org\apache\hadoop\mapred\WrappedJvmID.java","24","1","30","2","0","0","0","0","0","0","0","0","0","0","0","1","0","4","2","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","7","0","0","0","0","1","0","1","0","1","1","0","1","0","5","7","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L922","WrappedPeriodicStatsAccumulator","org.apache.hadoop.mapred.WrappedPeriodicStatsAccumulator","L194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop_2.8.3\hadoop-rel-release-2.8.3\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-app\src\main\java\org\apache\hadoop\mapred\WrappedPeriodicStatsAccumulator.java","22","1","33","2","0","0","0","0","0","0","0","0","1","0","0","2","0","2","5","0","2","0.333333","0.1","1","1","1","2","0.1","1","0","0","0","0","0","9","12","1","0","1","0","2","0","2","0","2","2","0","2","0","9","12","1","0","1","0","2","0","2","0","2","2","0","2","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L934","WrappedProgressSplitsBlock","org.apache.hadoop.mapred.WrappedProgressSplitsBlock","L194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop_2.8.3\hadoop-rel-release-2.8.3\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-app\src\main\java\org\apache\hadoop\mapred\WrappedProgressSplitsBlock.java","22","1","67","2","0","0","0","0","0","0","0","0","1","1","1","10","1","1","4","1","7","0.142857","0.0243902","1","1","1","6","0.0243902","1","0","0","0","0","0","40","46","4","4","4","4","6","0","6","0","6","14","0","6","0","40","46","4","4","4","4","6","0","6","0","6","14","0","6","0","0","0","15","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
