"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L110563","Null.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/dev-support/jdiff/Null.java","L110562","1","0","1","1","3","21"
"L120","TestGenericRefresh.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/TestGenericRefresh.java","L119","2","0","1","13","162","234"
"L121","TestRefreshCallQueue.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/TestRefreshCallQueue.java","L119","9","0","1","7","119","163"
"L149","TestEnhancedByteBufferAccess.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestEnhancedByteBufferAccess.java","L148","52","0","5","9","736","854"
"L150","TestFcHdfsCreateMkdir.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestFcHdfsCreateMkdir.java","L148","2","0","0","5","47","78"
"L151","TestFcHdfsPermission.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestFcHdfsPermission.java","L148","2","0","0","5","54","86"
"L152","TestFcHdfsSetUMask.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestFcHdfsSetUMask.java","L148","2","0","0","21","182","256"
"L153","TestGlobPaths.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestGlobPaths.java","L148","15","0","2","37","974","1309"
"L154","TestHDFSFileContextMainOperations.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestHDFSFileContextMainOperations.java","L148","9","0","2","12","246","362"
"L155","TestHdfsNativeCodeLoader.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestHdfsNativeCodeLoader.java","L148","6","0","0","2","31","54"
"L156","TestResolveHdfsSymlink.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestResolveHdfsSymlink.java","L148","8","0","5","2","121","180"
"L157","TestSWebHdfsFileContextMainOperations.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestSWebHdfsFileContextMainOperations.java","L148","3","0","1","3","80","117"
"L158","TestSymlinkHdfs.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestSymlinkHdfs.java","L148","14","0","1","12","256","346"
"L159","TestSymlinkHdfsDisable.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestSymlinkHdfsDisable.java","L148","3","0","0","2","40","68"
"L160","TestSymlinkHdfsFileContext.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestSymlinkHdfsFileContext.java","L148","2","0","0","3","26","53"
"L161","TestSymlinkHdfsFileSystem.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestSymlinkHdfsFileSystem.java","L148","2","0","1","7","74","108"
"L162","TestUnbuffer.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestUnbuffer.java","L148","6","0","3","1","95","148"
"L163","TestUrlStreamHandler.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestUrlStreamHandler.java","L148","7","0","3","0","81","160"
"L164","TestVolumeId.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/TestVolumeId.java","L148","6","0","2","2","85","147"
