"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L36323","ContainerLogAggregationType","org.apache.hadoop.yarn.logaggregation.ContainerLogAggregationType","L132883","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.9.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\logaggregation\ContainerLogAggregationType.java","24","1","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","1","0.555556","5","5","1","0","0.555556","5","0","0","0","0","0","4","8","2","0","2","0","0","2","0","0","0","0","2","0","0","4","8","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L79885","AccessType","org.apache.hadoop.yarn.security.AccessType","L135291","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.9.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\security\AccessType.java","27","1","35","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","1","0.416667","5","5","1","0","0.416667","5","0","0","0","0","0","7","9","3","0","3","0","0","3","0","0","0","0","3","0","0","7","9","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L644","ApplicationConstants$Environment","org.apache.hadoop.yarn.api.ApplicationConstants$Environment","L621","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.9.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\ApplicationConstants.java","113","3","293","4","0","0","0","0","0","0","0","0","1","1","1","6","1","10","10","0","5","0.6","0.691824","110","110","3","2","0.691824","110","0","0","0","0","0","49","181","25","0","25","0","5","24","4","0","5","7","24","4","0","49","181","25","0","25","0","5","24","4","0","5","7","24","4","0","0","0","15","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","8","0","0","0","0","0"
"L1309","ApplicationsRequestScope","org.apache.hadoop.yarn.api.protocolrecords.ApplicationsRequestScope","L844","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.9.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\protocolrecords\ApplicationsRequestScope.java","27","1","38","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0.461538","6","6","1","0","0.461538","6","0","0","0","0","0","7","12","3","0","3","0","0","3","0","0","0","0","3","0","0","7","12","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1092","AMCommand","org.apache.hadoop.yarn.api.records.AMCommand","L6591","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.9.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\AMCommand.java","34","1","59","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0.793103","23","23","1","0","0.793103","23","0","0","0","0","0","6","26","2","0","2","0","0","2","0","0","0","0","2","0","0","6","26","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2030","ApplicationAccessType","org.apache.hadoop.yarn.api.records.ApplicationAccessType","L6591","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.9.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\ApplicationAccessType.java","26","1","42","2","0","0","0","0","0","0","0","0","0","0","0","0","0","71","0","0","0","1","0.666667","12","12","1","0","0.666667","12","0","0","0","0","0","6","17","2","0","2","0","0","2","0","0","0","0","2","0","0","6","17","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2464","ApplicationTimeoutType","org.apache.hadoop.yarn.api.records.ApplicationTimeoutType","L6591","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.9.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\ApplicationTimeoutType.java","27","1","41","2","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","1","0.705882","12","12","1","0","0.705882","12","0","0","0","0","0","5","15","1","0","1","0","0","1","0","0","0","0","1","0","0","5","15","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L7824","ContainerRetryPolicy","org.apache.hadoop.yarn.api.records.ContainerRetryPolicy","L6591","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.9.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\ContainerRetryPolicy.java","26","1","35","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","1","0.461538","6","6","1","0","0.461538","6","0","0","0","0","0","7","10","3","0","3","0","0","3","0","0","0","0","3","0","0","7","10","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L7671","ContainerState","org.apache.hadoop.yarn.api.records.ContainerState","L6591","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.9.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\ContainerState.java","27","1","38","2","0","0","0","0","0","0","0","0","0","0","0","0","0","107","0","0","0","1","0.461538","6","6","1","0","0.461538","6","0","0","0","0","0","7","12","3","0","3","0","0","3","0","0","0","0","3","0","0","7","12","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L7937","ContainerSubState","org.apache.hadoop.yarn.api.records.ContainerSubState","L6591","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.9.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\ContainerSubState.java","26","1","57","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0.709677","22","22","1","0","0.709677","22","0","0","0","0","0","9","32","5","0","5","0","0","5","0","0","0","0","5","0","0","9","32","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
