"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L135635","TestFuseDFS","TestFuseDFS","L135624","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-native-client\src\main\native\fuse-dfs\test\TestFuseDFS.java","43","1","410","2","0","0","0","0","0","0","0","0","2","2","2","36","5","2","1","7","25","0.777778","0.169492","50","22","7","2","0.149701","50","0","0","0","0","0","245","328","6","0","6","0","18","0","8","0","18","144","0","8","0","284","368","7","0","7","0","21","0","10","0","21","169","0","10","0","0","1","49","14","22","0","0","0","0","0","0","1","0","0","1","0","0","2","47","0","0","0","0","0","13","12","3","0","0","0","0","0","0","2","1","0","0","1","0","2","0","1","0"
"L135738","Null","Null","L135624","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\dev-support\jdiff\Null.java","18","1","20","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.85","17","17","1","1","0.85","17","0","0","0","0","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"L135691","TestFuseDFS$RedirectToStdoutThread","TestFuseDFS$RedirectToStdoutThread","L135635","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-native-client\src\main\native\fuse-dfs\test\TestFuseDFS.java","141","3","159","4","0","0","0","0","0","0","0","0","1","2","2","4","1","1","1","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","18","19","1","0","1","0","2","0","1","0","2","8","0","1","0","18","19","1","0","1","0","2","0","1","0","2","8","0","1","0","0","0","7","1","4","0","0","0","0","0","0","0","0","0","1","0","0","1","7","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L134775","TestGenericRefresh","org.apache.hadoop.TestGenericRefresh","L106","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\TestGenericRefresh.java","47","1","234","2","0.179266","1","2","2","0.148936","0.138889","28","20","3","1","1","14","3","0","0","7","20","0.0714286","0.121951","20","6","1","13","0.121951","20","0","0","0","0","0","144","188","4","0","4","0","13","0","13","2","13","82","0","13","2","144","188","4","0","4","0","13","0","13","2","13","82","0","13","2","0","0","45","21","5","0","0","0","0","15","0","1","0","0","0","0","0","0","29","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","10","0","0"
"L134799","TestRefreshCallQueue","org.apache.hadoop.TestRefreshCallQueue","L106","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\TestRefreshCallQueue.java","44","1","163","2","0","0","0","0","0","0","0","0","1","2","2","13","5","1","0","9","14","0.2","0.09375","9","1","1","4","0.0841122","9","0","0","0","0","0","87","108","5","0","5","0","5","0","4","1","5","49","0","4","1","98","120","5","0","5","0","7","0","6","1","7","53","0","6","1","0","2","20","3","4","0","1","0","0","0","0","0","0","0","2","0","0","1","20","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2","0","0"
"L135736","TestFuseDFS$1","TestFuseDFS$1","L135732","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-native-client\src\main\native\fuse-dfs\test\TestFuseDFS.java","373","31","395","3","0","0","0","0","0","0","0","0","1","2","2","4","1","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","23","23","0","0","0","0","1","0","1","0","1","17","0","1","0","23","23","0","0","0","0","1","0","1","0","1","17","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L194","Hdfs","org.apache.hadoop.fs.Hdfs","L124","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\fs\Hdfs.java","60","1","561","2","0.0630961","2","5","2","0.0438247","0.0409836","22","15","4","2","2","65","12","2","1","53","105","0.0769231","0.133515","49","40","4","48","0.158621","69","0","0","0","0","0","318","439","2","17","2","17","52","0","51","8","52","92","0","51","8","366","502","6","20","6","18","57","0","55","8","63","110","0","59","8","0","0","135","2","2","0","0","0","0","9","0","1","0","0","1","3","0","0","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","10","0","2","0","0","0"
"L646","HdfsBlockLocation","org.apache.hadoop.fs.HdfsBlockLocation","L124","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\fs\HdfsBlockLocation.java","33","1","57","2","0","0","0","0","0","0","0","0","1","0","0","3","1","3","4","0","3","0.333333","0.28","7","5","1","2","0.28","7","0","0","0","0","0","18","25","2","1","2","1","3","0","2","0","3","5","0","2","0","18","25","2","1","2","1","3","0","2","0","3","5","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L671","SWebHdfs","org.apache.hadoop.fs.SWebHdfs","L124","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\fs\SWebHdfs.java","33","1","64","2","0","0","0","0","0","0","0","0","1","0","0","2","1","1","0","0","2","1","0.53125","17","17","1","0","0.53125","17","0","0","0","0","0","15","32","1","0","1","0","2","1","0","0","2","4","1","0","0","15","32","1","0","1","0","2","1","0","0","2","4","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L688","WebHdfs","org.apache.hadoop.fs.WebHdfs","L124","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\fs\WebHdfs.java","33","1","63","2","0","0","0","0","0","0","0","0","1","0","0","2","1","1","0","0","2","1","0.548387","17","17","1","0","0.548387","17","0","0","0","0","0","14","31","1","0","1","0","2","1","0","0","2","4","1","0","0","14","31","1","0","1","0","2","1","0","0","2","4","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
