"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L5856","BlockReader","org.apache.hadoop.hdfs.BlockReader","L5560","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\BlockReader.java","34","1","110","2","0","0","0","0","0","0","0","0","0","0","0","10","1","25","20","0","10","1","0.802817","57","56","11","0","0.802817","57","0","0","4","4","0","14","77","0","3","0","3","10","0","10","0","10","0","0","10","0","14","77","0","3","0","3","10","0","10","0","10","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11472","ReaderStrategy","org.apache.hadoop.hdfs.ReaderStrategy","L5560","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\ReaderStrategy.java","28","1","71","2","0","0","0","0","0","0","0","0","0","0","0","6","1","4","4","0","6","1","0.813953","35","35","7","0","0.813953","35","0","0","2","2","0","8","44","0","2","0","2","6","0","6","0","6","0","0","6","0","8","44","0","2","0","2","6","0","6","0","6","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6643","RemotePeerFactory","org.apache.hadoop.hdfs.RemotePeerFactory","L5560","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\RemotePeerFactory.java","29","1","43","2","0","0","0","0","0","0","0","0","0","0","0","1","3","10","1","0","1","0.5","0.6","9","9","1","1","0.6","9","0","0","5","5","0","6","15","0","0","0","0","1","0","1","0","1","0","0","1","0","6","15","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6185","HdfsClientConfigKeys","org.apache.hadoop.hdfs.client.HdfsClientConfigKeys","L5895","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\client\HdfsClientConfigKeys.java","26","1","424","2","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","1","0.0559441","8","6","1","0","0.084507","30","0","0","0","0","0","135","180","95","0","95","0","0","95","0","0","0","0","95","0","0","325","399","230","0","230","0","0","230","0","0","0","0","230","0","0","0","0","117","0","17","0","0","0","0","0","0","0","0","0","0","0","0","15","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","86","0","0","0","0","0"
"L6927","Peer","org.apache.hadoop.hdfs.net.Peer","L15197","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\net\Peer.java","31","1","123","2","0","0","0","0","0","0","0","0","0","0","0","14","0","32","42","0","14","1","0.795181","66","66","15","0","0.795181","66","0","0","5","5","0","17","93","0","8","0","8","14","0","14","2","14","0","0","14","2","17","93","0","8","0","8","14","0","14","2","14","0","0","14","2","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0"
"L15518","PeerServer","org.apache.hadoop.hdfs.net.PeerServer","L15197","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\net\PeerServer.java","25","1","67","2","0","0","0","0","0","0","0","0","0","0","0","5","1","5","4","0","5","0.833333","0.794872","31","31","5","1","0.794872","31","0","0","2","2","0","8","43","0","2","0","2","5","0","5","1","5","0","0","5","1","8","43","0","2","0","2","5","0","5","1","5","0","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7243","ClientDatanodeProtocol","org.apache.hadoop.hdfs.protocol.ClientDatanodeProtocol","L15915","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocol\ClientDatanodeProtocol.java","37","1","202","2","0","0","0","0","0","0","0","0","0","0","0","17","7","17","40","0","17","1","0.806667","121","121","18","0","0.806667","121","0","0","2","6","0","29","166","1","7","1","7","17","1","17","0","17","0","1","17","0","29","166","1","7","1","7","17","1","17","0","17","0","1","17","0","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0"
"L9963","ClientProtocol","org.apache.hadoop.hdfs.protocol.ClientProtocol","L15915","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocol\ClientProtocol.java","67","1","1673","2","0","0","0","0","0","0","0","0","0","0","0","100","37","164","500","0","100","1","0.809145","1221","1221","101","0","0.809145","1221","0","0","3","5","0","288","1607","12","29","12","29","100","12","100","11","100","0","12","100","11","288","1607","12","29","12","29","100","12","100","11","100","0","12","100","11","0","0","27","0","5","0","0","0","0","0","0","0","0","0","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","25","0","0","0","0","0"
"L13144","ReconfigurationProtocol","org.apache.hadoop.hdfs.protocol.ReconfigurationProtocol","L15915","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocol\ReconfigurationProtocol.java","34","1","58","2","0","0","0","0","0","0","0","0","0","0","0","3","0","6","6","0","3","1","0.56","14","14","4","0","0.56","14","0","0","3","9","0","11","25","1","1","1","1","3","1","3","0","3","0","1","3","0","11","25","1","1","1","1","3","1","3","0","3","0","1","3","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L21609","ClientDatanodeProtocolPB","org.apache.hadoop.hdfs.protocolPB.ClientDatanodeProtocolPB","L21571","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocolPB\ClientDatanodeProtocolPB.java","28","1","37","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15183","ClientNamenodeProtocolPB","org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolPB","L21571","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocolPB\ClientNamenodeProtocolPB.java","31","1","46","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0.375","6","0","0","1","0.375","6","0","0","1","1","0","10","16","0","0","0","0","0","0","0","0","0","0","0","0","0","10","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22851","ReconfigurationProtocolPB","org.apache.hadoop.hdfs.protocolPB.ReconfigurationProtocolPB","L21571","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\hdfs\protocolPB\ReconfigurationProtocolPB.java","34","1","43","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0.411765","7","7","1","0","0.411765","7","0","0","1","1","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23407","DatanodeLifelineProtocolPB","org.apache.hadoop.hdfs.protocolPB.DatanodeLifelineProtocolPB","L21571","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\protocolPB\DatanodeLifelineProtocolPB.java","30","1","40","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0.214286","3","3","1","0","0.214286","3","0","0","1","1","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21426","DatanodeProtocolPB","org.apache.hadoop.hdfs.protocolPB.DatanodeProtocolPB","L21571","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\protocolPB\DatanodeProtocolPB.java","27","1","36","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23631","InterDatanodeProtocolPB","org.apache.hadoop.hdfs.protocolPB.InterDatanodeProtocolPB","L21571","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\protocolPB\InterDatanodeProtocolPB.java","26","1","35","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23686","JournalProtocolPB","org.apache.hadoop.hdfs.protocolPB.JournalProtocolPB","L21571","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\protocolPB\JournalProtocolPB.java","33","1","42","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0.411765","7","7","1","0","0.411765","7","0","0","1","1","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23758","NamenodeProtocolPB","org.apache.hadoop.hdfs.protocolPB.NamenodeProtocolPB","L21571","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\protocolPB\NamenodeProtocolPB.java","34","1","43","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0.411765","7","7","1","0","0.411765","7","0","0","1","1","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24482","RouterAdminProtocolPB","org.apache.hadoop.hdfs.protocolPB.RouterAdminProtocolPB","L21571","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\protocolPB\RouterAdminProtocolPB.java","35","1","44","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0.333333","5","5","1","0","0.333333","5","0","0","1","1","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50282","ReadOnlyList<E extends Object>","org.apache.hadoop.hdfs.util.ReadOnlyList","L102858","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\util\ReadOnlyList.java","34","1","240","2","0.212871","1","2","2","0.183575","0.217687","38","32","0","0","0","3","0","26","33","0","3","1","0.714286","15","15","4","0","0.183333","33","0","0","2","2","0","6","21","0","0","0","0","3","0","3","0","3","0","0","3","0","147","207","0","0","0","0","34","0","34","0","34","46","0","34","0","0","0","146","0","2","0","0","0","0","74","0","3","0","0","0","0","0","1","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0"
"L67427","RwLock","org.apache.hadoop.hdfs.util.RwLock","L102858","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\util\RwLock.java","21","1","42","2","0","0","0","0","0","0","0","0","0","0","0","7","0","10","51","0","7","1","0.470588","8","8","8","0","0.470588","8","0","0","1","2","0","9","22","0","0","0","0","7","0","7","0","7","0","0","7","0","9","22","0","0","0","0","7","0","7","0","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L111880","DFSUtil$AddressMatcher","org.apache.hadoop.hdfs.DFSUtil$AddressMatcher","L88210","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\DFSUtil.java","1172","3","1174","4","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","0","1","0","0","0","0","0","2","0","0","0","0","2","2","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L122748","TestAclsEndToEnd$UserOp","org.apache.hadoop.hdfs.TestAclsEndToEnd$UserOp","L122618","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\TestAclsEndToEnd.java","1655","3","1657","4","0","0","0","0","0","0","0","0","0","0","0","1","0","7","1","0","1","0.5","0.5","3","3","1","1","0.5","3","0","0","5","5","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L123180","TestBlockStoragePolicy$CheckChooseStorageTypes","org.apache.hadoop.hdfs.TestBlockStoragePolicy$CheckChooseStorageTypes","L123106","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\TestBlockStoragePolicy.java","276","3","361","4","0","0","0","0","0","0","0","0","0","0","0","1","2","8","3","3","4","0","0.225806","7","7","0","2","0.0886076","7","0","0","7","7","0","24","38","7","0","7","0","1","7","1","0","1","0","7","1","0","72","86","7","0","7","0","8","7","8","0","8","14","7","8","0","0","0","59","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","19","0","0","0","0","0"
"L125475","TestDFSShell$TestGetRunner","org.apache.hadoop.hdfs.TestDFSShell$TestGetRunner","L125305","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\TestDFSShell.java","1861","3","1863","4","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","0","0","0","0","0","2","0","0","0","0","1","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L123800","TestDFSUpgradeFromImage$ClusterVerifier","org.apache.hadoop.hdfs.TestDFSUpgradeFromImage$ClusterVerifier","L123681","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\TestDFSUpgradeFromImage.java","98","3","100","4","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","0","1","0","0","0","0","0","2","0","0","0","0","1","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L129383","TestParallelReadUtil$ReadWorkerHelper","org.apache.hadoop.hdfs.TestParallelReadUtil$ReadWorkerHelper","L129350","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\TestParallelReadUtil.java","82","3","85","4","0","0","0","0","0","0","0","0","0","0","0","2","1","5","2","0","2","0.333333","0.5","4","4","1","2","0.5","4","0","0","3","3","0","4","4","0","0","0","0","2","0","2","0","2","0","0","2","0","4","4","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
