"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L165","void validatePlatform()","org.apache.hadoop.maven.plugin.cmakebuilder.CompileMojo.validatePlatform()V","L129","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\CompileMojo.java","86","3","92","4","0","0","0","0","0","0","0","0","90.5684","9","1237.94","115.292","30","24","68.7744","137.549","113.412","66.3225","114.158","66.7592","2","1","1","2","0","0.125","1","1","0.125","1","7","7","2","0","7","7","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L178","void execute()","org.apache.hadoop.maven.plugin.cmakebuilder.CompileMojo.execute()V","L129","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\CompileMojo.java","94","3","103","4","0","0","0","0","0","0","0","0","94.7101","11.5714","2579.33","188.078","48","25","143.296","222.905","105.353","61.61","76.3933","44.6744","1","0","0","0","3","0","0","0","0","0","10","10","6","0","10","10","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L195","void validateSourceParams(File source, File output)","org.apache.hadoop.maven.plugin.cmakebuilder.CompileMojo.validateSourceParams(Ljava/io/File;Ljava/io/File;)V","L129","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\CompileMojo.java","108","3","131","4","0","0","0","0","0","0","0","0","150.439","15","5661.07","317.638","73","36","314.504","377.405","89.9055","52.5763","85.8276","50.1916","4","1","1","1","0","0.192308","5","3","0.192308","5","21","24","10","2","21","24","10","0","0","2","0","2","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L185","void runCMake()","org.apache.hadoop.maven.plugin.cmakebuilder.CompileMojo.runCMake()V","L129","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\CompileMojo.java","133","3","198","4","0","0","0","0","0","0","0","0","616.784","63","136333","2648.91","321","107","7574.04","2164.01","60.4716","35.3635","12.9666","7.58283","14","4","4","1","6","0","0","0","0","0","64","66","45","0","64","66","45","0","0","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L187","void runMake()","org.apache.hadoop.maven.plugin.cmakebuilder.CompileMojo.runMake()V","L129","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\CompileMojo.java","200","3","265","4","0","0","0","0","0","0","0","0","473.943","47.5875","86462.2","1955.32","282","87","4803.46","1816.91","61.3807","35.8951","27.5993","16.14","14","4","4","1","2","0.030303","2","0","0.030303","2","64","66","45","0","64","66","45","0","0","4","0","1","0","0","0","0","0","0","0","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L334","void validatePlatform()","org.apache.hadoop.maven.plugin.cmakebuilder.TestMojo.validatePlatform()V","L298","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\TestMojo.java","120","3","126","4","0","0","0","0","0","0","0","0","90.5684","9","1237.94","115.292","30","24","68.7744","137.549","113.412","66.3225","114.158","66.7592","2","1","1","1","0","0.125","1","1","0.125","1","7","7","2","0","7","7","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L351","void writeStatusFile(String status)","org.apache.hadoop.maven.plugin.cmakebuilder.TestMojo.writeStatusFile(Ljava/lang/String;)V","L298","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\TestMojo.java","163","3","177","4","0","0","0","0","0","0","0","0","172.66","22.9091","8233.7","407.752","68","39","457.428","359.407","96.0704","56.1815","102.69","60.0529","2","2","2","1","0","0.347826","8","8","0.347826","8","15","15","8","1","15","15","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L379","boolean isTruthy(String str)","org.apache.hadoop.maven.plugin.cmakebuilder.TestMojo.isTruthy(Ljava/lang/String;)Z","L298","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\TestMojo.java","179","3","193","4","0","0","0","0","0","0","0","0","96.6571","7.7","2207.8","169.553","61","26","122.655","286.727","96.0952","56.196","63.648","37.2211","7","1","1","1","0","0","0","0","0","0","15","15","13","1","15","15","13","0","5","2","0","6","0","0","6","0","0","0","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L384","void validateParameters()","org.apache.hadoop.maven.plugin.cmakebuilder.TestMojo.validateParameters()V","L298","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\TestMojo.java","203","3","210","4","0","0","0","0","0","0","0","0","83.6515","10.2857","1535.43","133.092","33","23","85.3015","149.278","110.363","64.5397","122.919","71.8824","4","1","1","1","0","0.333333","4","4","0.333333","4","8","8","2","0","8","8","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L387","boolean shouldRunTest()","org.apache.hadoop.maven.plugin.cmakebuilder.TestMojo.shouldRunTest()Z","L298","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\TestMojo.java","212","3","285","4","0","0","0","0","0","0","0","0","475.948","27.5962","45872.5","1281.45","258","87","2548.47","1662.28","60.4011","35.3223","34.4166","20.1267","16","5","4","1","1","0.0810811","6","0","0.0810811","6","68","74","41","0","68","74","41","0","2","5","1","0","0","0","0","0","0","0","0","2","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
