"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L24681","DistCpOptionSwitch","org.apache.hadoop.tools.DistCpOptionSwitch","L22839","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCpOptionSwitch.java","28","1","279","2","0","0","0","0","0","0","0","0","1","0","0","8","0","14","29","0","8","0.857143","0.46875","105","105","6","1","0.46875","105","0","0","0","0","0","119","252","27","3","27","3","8","25","6","0","8","10","25","6","0","119","252","27","3","27","3","8","25","6","0","8","10","25","6","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L46739","Type","org.apache.hadoop.typedbytes.Type","L46727","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-streaming\src\main\java\org\apache\hadoop\typedbytes\Type.java","24","1","50","2","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","1","1","0.24","6","6","1","0","0.24","6","0","0","0","0","0","19","27","14","0","14","0","1","13","0","0","1","1","13","0","0","19","27","14","0","14","0","1","13","0","0","1","1","13","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L3141","S3AEncryptionMethods","org.apache.hadoop.fs.s3a.S3AEncryptionMethods","L1194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\S3AEncryptionMethods.java","29","1","72","2","0","0","0","0","0","0","0","0","0","1","1","7","0","15","15","0","3","0.666667","0.25","10","10","2","1","0.25","10","0","0","0","0","0","30","44","6","2","6","2","3","4","2","0","3","9","4","2","0","30","44","6","2","6","2","3","4","2","0","3","9","4","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L3239","S3AInputPolicy","org.apache.hadoop.fs.s3a.S3AInputPolicy","L1194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\S3AInputPolicy.java","33","1","76","2","0","0","0","0","0","0","0","0","1","1","1","6","1","4","1","0","3","0.666667","0.243902","10","10","2","1","0.243902","10","0","0","0","0","0","31","44","5","1","5","1","3","3","2","0","3","9","3","2","0","31","44","5","1","5","1","3","3","2","0","3","9","3","2","0","0","0","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L3570","Statistic","org.apache.hadoop.fs.s3a.Statistic","L1194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\Statistic.java","31","1","198","2","0","0","0","0","0","0","0","0","2","0","0","5","0","13","16","0","5","0.6","0.0987654","16","16","3","2","0.0987654","16","0","0","0","0","0","146","168","63","2","63","2","5","60","4","0","5","6","60","4","0","146","168","63","2","63","2","5","60","4","0","5","6","60","4","0","0","0","18","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L3172","Tristate","org.apache.hadoop.fs.s3a.Tristate","L1194","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\Tristate.java","24","1","32","2","0","0","0","0","0","0","0","0","1","0","0","2","0","16","2","0","1","0.5","0.454545","5","5","1","1","0.454545","5","0","0","0","0","0","6","9","3","0","3","0","1","3","1","0","1","1","3","1","0","6","9","3","0","3","0","1","3","1","0","1","1","3","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L9605","TokenProviderType","org.apache.hadoop.fs.adl.TokenProviderType","L9538","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-azure-datalake\src\main\java\org\apache\hadoop\fs\adl\TokenProviderType.java","21","1","27","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","7","7","5","0","5","0","0","5","0","0","0","0","5","0","0","7","7","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L11972","BlobMaterialization","org.apache.hadoop.fs.azure.BlobMaterialization","L10739","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-azure\src\main\java\org\apache\hadoop\fs\azure\BlobMaterialization.java","28","1","42","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0.75","15","15","1","0","0.75","15","0","0","0","0","0","5","15","2","0","2","0","0","2","0","0","0","0","2","0","0","5","15","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L13965","WasbAuthorizationOperations","org.apache.hadoop.fs.azure.WasbAuthorizationOperations","L10739","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-azure\src\main\java\org\apache\hadoop\fs\azure\WasbAuthorizationOperations.java","26","1","42","2","0","0","0","0","0","0","0","0","1","1","1","3","0","3","29","0","1","0.5","0.210526","4","4","1","1","0.210526","4","0","0","0","0","0","15","17","3","0","3","0","1","3","1","0","1","4","3","1","0","15","17","3","0","3","0","1","3","1","0","1","4","3","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L24352","DistCpOptions$FileAttribute","org.apache.hadoop.tools.DistCpOptions$FileAttribute","L24074","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCpOptions.java","156","3","175","4","0","0","0","0","0","0","0","0","0","2","2","3","0","16","2","0","1","0.5","0.424242","14","5","1","1","0.424242","14","0","0","0","0","0","19","20","9","1","9","1","1","9","1","0","1","4","9","1","0","19","20","9","1","9","1","1","9","1","0","1","4","9","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
