"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L21413","SignalLogger","org.apache.hadoop.util.SignalLogger","L14846","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\SignalLogger.java","34","1","97","2","0","0","0","0","0","0","0","0","2","2","2","5","6","2","2","4","6","1","0.261905","11","11","2","0","0.296875","19","0","0","0","0","0","31","43","2","0","2","0","2","1","1","0","2","17","1","1","0","45","64","4","0","4","0","4","1","2","0","4","21","1","2","0","0","0","9","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","4","1","0","0","0","0"
"L27472","CipherSuite","org.apache.hadoop.crypto.CipherSuite","L27438","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\crypto\CipherSuite.java","28","1","106","2","0","0","0","0","0","0","0","0","1","2","2","12","3","11","13","1","9","0.625","0.277778","20","20","5","3","0.277778","20","0","0","0","0","0","52","79","5","4","5","4","8","2","7","1","8","23","2","7","1","52","79","5","4","5","4","8","2","7","1","8","23","2","7","1","0","0","13","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","5","0","0","0"
"L28012","CryptoProtocolVersion","org.apache.hadoop.crypto.CryptoProtocolVersion","L27438","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\crypto\CryptoProtocolVersion.java","25","1","90","2","0","0","0","0","0","0","0","0","2","2","2","11","2","1","0","0","8","0.375","0.20339","12","12","3","5","0.20339","12","0","0","0","0","0","47","66","6","3","6","3","8","2","7","1","8","14","2","7","1","47","66","6","3","6","3","8","2","7","1","8","14","2","7","1","0","0","21","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","5","0","0","0","0","0"
"L33500","CreateFlag","org.apache.hadoop.fs.CreateFlag","L33158","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\CreateFlag.java","63","1","187","2","0","0","0","0","0","0","0","0","1","2","2","14","6","32","1","2","7","1","0.62069","90","89","4","0","0.62069","90","0","0","0","0","0","55","125","9","1","9","1","5","8","3","0","5","19","8","3","0","55","125","9","1","9","1","5","8","3","0","5","19","8","3","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L38426","GlobalStorageStatistics","org.apache.hadoop.fs.GlobalStorageStatistics","L33158","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\GlobalStorageStatistics.java","32","1","144","2","0","0","0","0","0","0","0","0","1","1","1","10","5","2","2","4","8","1","0.472222","34","34","5","0","0.352381","37","0","0","0","0","0","38","79","2","0","2","0","4","1","4","0","4","16","1","4","0","68","113","3","0","3","0","9","1","8","0","9","26","1","8","0","0","0","19","2","6","0","0","0","0","0","0","1","0","0","0","0","0","4","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","4","2","0","0","0","0"
"L27842","ReadOption","org.apache.hadoop.fs.ReadOption","L33158","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\ReadOption.java","26","1","34","2","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","0","1","0.583333","7","7","1","0","0.583333","7","0","0","0","0","0","5","9","1","0","1","0","0","1","0","0","0","0","1","0","0","5","9","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L33997","StorageType","org.apache.hadoop.fs.StorageType","L33158","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\StorageType.java","33","1","95","2","0","0","0","0","0","0","0","0","2","2","2","12","5","11","3","1","11","0.111111","0.0943396","5","5","1","8","0.0943396","5","0","0","0","0","0","48","63","8","3","8","3","10","6","8","0","10","14","6","8","0","48","63","8","3","8","3","10","6","8","0","10","14","6","8","0","0","0","29","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L46728","XAttrCodec","org.apache.hadoop.fs.XAttrCodec","L33158","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\XAttrCodec.java","37","1","121","2","0","0","0","0","0","0","0","0","1","5","4","12","4","2","2","0","2","1","0.45977","40","40","3","0","0.45977","40","0","0","0","0","0","47","85","6","0","6","0","2","3","2","0","2","24","3","2","0","47","85","6","0","6","0","2","3","2","0","2","24","3","2","0","0","0","7","0","2","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0"
"L33827","XAttrSetFlag","org.apache.hadoop.fs.XAttrSetFlag","L33158","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\XAttrSetFlag.java","28","1","71","2","0","0","0","0","0","0","0","0","1","2","2","8","5","12","0","1","4","0","0.210526","8","8","0","2","0.210526","8","0","0","0","0","0","30","44","3","1","3","1","3","2","1","0","3","9","2","1","0","30","44","3","1","3","1","3","2","1","0","3","9","2","1","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L88085","MetricType","org.apache.hadoop.metrics2.MetricType","L88049","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\metrics2\MetricType.java","20","1","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0.636364","7","7","0","1","0.636364","7","0","0","0","0","0","4","12","2","0","2","0","0","2","0","0","0","0","2","0","0","4","12","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
