ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Runtime Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules
L151846,TestFuseDFS,TestFuseDFS,L151838,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\contrib\fuse-dfs\src\test\TestFuseDFS.java,39,1,626,2,0,0,0,0,0,0,0,0,2,4,4,45,10,0,0,24,44,0.764706,0.229675,113,66,13,4,0.229675,113,0,0,0,0,0,379,588,5,0,5,0,20,0,16,1,20,276,0,16,1,379,588,5,0,5,0,20,0,16,1,20,276,0,16,1,0,9,31,52,113,0,12,0,0,0,0,1,0,2,2,0,0,7,27,11,1,0,0,0,100,0,17,0,0,0,0,0,0,4,0,0,0,1,18,4,5,4,0
L151919,ClassWordCount,testjar.ClassWordCount,L151910,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\test\testjar\ClassWordCount.java,43,1,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666667,4,4,1,0,0.6,12,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,2,0,0,0,0,0,0,0,6,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L151930,CustomOutputCommitter,testjar.CustomOutputCommitter,L151910,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\test\testjar\CustomOutputCommitter.java,23,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333,1,0,0,1,0.333333,1,3,3,0,0,1,2,3,4,4,0,0,0,0,0,0,28,0,3,22,0,2,3,4,4,0,0,0,0,0,0,28,0,3,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
L151932,ExternalMapperReducer,testjar.ExternalMapperReducer,L151910,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\test\testjar\ExternalMapperReducer.java,34,1,73,2,0,0,0,0,0,0,0,0,4,1,1,6,10,0,0,4,8,0,0,0,0,0,5,0,0,2,4,0,0,2,32,40,0,0,0,0,4,0,4,0,4,9,0,4,0,32,40,0,0,0,0,4,0,4,0,4,9,0,4,0,0,0,13,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L151934,ExternalWritable,testjar.ExternalWritable,L151910,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\test\testjar\ExternalWritable.java,32,1,86,2,0,0,0,0,0,0,0,0,1,1,1,12,1,1,1,0,8,0.111111,0.108696,5,5,1,8,0.108696,5,2,2,0,0,1,41,55,1,1,1,1,8,0,8,1,8,16,0,8,1,41,55,1,1,1,1,8,0,8,1,8,16,0,8,1,0,0,19,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L49743,GenerateTaskChildProcess,testjar.GenerateTaskChildProcess,L151910,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\test\testjar\GenerateTaskChildProcess.java,44,1,259,2,0.257191,2,8,4,0.25463,0.303867,55,55,1,2,1,4,6,8,3,13,14,1,0.102273,9,9,1,0,0.121359,25,0,0,0,0,0,79,108,1,0,1,0,1,0,0,0,1,29,0,0,0,181,216,4,0,4,0,9,0,8,0,14,74,0,13,0,0,2,72,11,11,0,0,0,0,34,0,2,0,0,4,1,0,3,30,0,0,0,4,0,0,1,7,0,0,0,0,0,0,4,0,0,0,1,5,0,0,0,0
L50353,JobKillCommitter,testjar.JobKillCommitter,L151910,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\test\testjar\JobKillCommitter.java,31,1,119,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.378049,31,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,51,89,4,12,0,0,9,0,9,0,113,5,3,80,0,0,0,38,0,4,0,0,0,0,0,0,1,0,0,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
L50785,UserNamePermission,testjar.UserNamePermission,L151910,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\test\testjar\UserNamePermission.java,39,1,95,2,0.288462,1,1,1,0.175439,0.2,10,8,1,0,0,2,9,2,0,14,15,0,0,0,0,0,2,0.0652174,3,0,0,0,0,0,21,32,1,0,1,0,1,0,1,0,1,14,0,1,0,43,57,2,0,2,0,3,0,3,0,11,21,0,5,0,0,1,26,1,6,0,0,0,0,10,0,0,0,0,1,1,0,1,15,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L42266,ExternalMapReduce,testshell.ExternalMapReduce,L152096,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\test\testshell\ExternalMapReduce.java,47,1,147,2,0,0,0,0,0,0,0,0,4,1,1,6,11,1,0,13,17,0.2,0.146341,6,4,1,4,0.126316,12,2,3,0,0,2,35,47,1,1,0,0,4,0,4,0,8,20,0,8,1,83,101,1,1,0,0,6,0,6,0,14,43,0,14,1,0,1,25,3,3,0,0,0,0,0,0,1,0,0,0,2,0,3,19,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L151922,ClassWordCount$MapClass,testjar.ClassWordCount$MapClass,L151919,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-1.2.1\src\test\testjar\ClassWordCount.java,50,3,52,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0.625,5,5,1,0,0.625,5,3,5,0,0,2,3,3,2,0,0,0,0,0,0,0,3,0,0,3,0,3,3,2,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
