ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Runtime Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules
L3256,HadoopIllegalArgumentException,org.apache.hadoop.HadoopIllegalArgumentException,L106,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\HadoopIllegalArgumentException.java,28,1,40,2,0,0,0,0,0,0,0,0,0,0,0,1,4,17,24,0,1,1,0.529412,9,9,2,0,0.529412,9,0,0,3,3,0,8,13,1,0,1,0,1,0,1,0,1,1,0,1,0,8,13,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L133,InterfaceAudience,org.apache.hadoop.classification.InterfaceAudience,L122,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-annotations\src\main\java\org\apache\hadoop\classification\InterfaceAudience.java,25,1,47,2,0,0,0,0,0,0,0,0,0,0,0,1,3,540,0,0,1,1,0.333333,4,3,1,0,0.583333,14,0,0,0,0,0,8,21,0,0,0,0,1,0,0,0,1,0,0,0,0,10,23,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L146,InterfaceStability,org.apache.hadoop.classification.InterfaceStability,L122,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-annotations\src\main\java\org\apache\hadoop\classification\InterfaceStability.java,26,1,48,2,0,0,0,0,0,0,0,0,0,0,0,0,3,489,0,0,0,1,0.363636,4,4,1,0,0.6,15,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2404,AccessControlException,org.apache.hadoop.security.AccessControlException,L423,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\AccessControlException.java,26,1,61,2,0,0,0,0,0,0,0,0,0,0,0,3,5,30,17,2,5,1,0.628571,22,22,4,0,0.628571,22,1,1,1,1,1,13,36,2,0,1,0,3,0,3,0,6,3,0,6,0,13,36,2,0,1,0,3,0,3,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2423,AnnotatedSecurityInfo,org.apache.hadoop.security.AnnotatedSecurityInfo,L423,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\AnnotatedSecurityInfo.java,27,1,40,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0.333333,0.230769,3,3,1,2,0.230769,3,1,1,0,0,1,10,14,0,2,0,2,2,0,2,0,2,2,0,2,0,10,14,0,2,0,2,2,0,2,0,2,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2448,AuthenticationFilterInitializer,org.apache.hadoop.security.AuthenticationFilterInitializer,L423,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\AuthenticationFilterInitializer.java,46,1,114,2,0,0,0,0,0,0,0,0,1,2,2,8,7,1,1,3,4,1,0.333333,24,22,2,0,0.333333,24,1,1,0,0,1,48,69,2,0,2,0,1,0,1,0,1,29,0,1,0,48,69,2,0,2,0,1,0,1,0,1,29,0,1,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
L2998,Credentials,org.apache.hadoop.security.Credentials,L423,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\Credentials.java,53,1,304,2,0,0,0,0,0,0,0,0,1,2,2,34,15,11,34,13,32,0.894737,0.344828,80,78,17,2,0.344828,80,1,1,0,0,1,152,252,5,3,5,3,19,0,18,0,19,81,0,18,0,152,252,5,3,5,3,19,0,18,0,19,81,0,18,0,0,0,13,0,9,0,0,0,0,0,0,0,0,0,3,1,0,5,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L2537,Groups,org.apache.hadoop.security.Groups,L423,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\Groups.java,48,1,243,2,0,0,0,0,0,0,0,0,1,2,2,23,16,7,17,16,23,0.857143,0.25,39,35,6,1,0.295699,55,0,0,1,1,0,117,166,7,3,7,3,7,0,6,0,7,54,0,6,0,131,196,9,5,9,5,10,0,8,0,10,58,0,8,0,0,0,10,1,10,0,0,1,0,0,0,0,0,0,2,1,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0
L3306,HadoopKerberosName,org.apache.hadoop.security.HadoopKerberosName,L423,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\HadoopKerberosName.java,35,1,85,2,0,0,0,0,0,0,0,0,1,2,2,7,10,5,5,7,10,0.75,0.37037,20,19,3,1,0.37037,20,1,1,0,0,1,34,51,10,6,0,0,3,0,3,1,15,16,0,13,2,34,51,10,6,0,0,3,0,3,1,15,16,0,13,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3330,JniBasedUnixGroupsMapping,org.apache.hadoop.security.JniBasedUnixGroupsMapping,L423,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\JniBasedUnixGroupsMapping.java,37,1,100,2,0,0,0,0,0,0,0,0,4,2,2,8,5,3,1,0,6,0.25,0.360656,22,20,1,3,0.360656,22,1,1,1,1,1,39,64,1,2,1,2,6,0,3,0,6,8,0,3,0,39,64,1,2,1,2,6,0,3,0,6,8,0,3,0,0,0,4,3,5,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
L3354,JniBasedUnixGroupsMappingWithFallback,org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback,L423,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\JniBasedUnixGroupsMappingWithFallback.java,28,1,63,2,0,0,0,0,0,0,0,0,1,1,1,6,4,0,0,4,8,0,0,0,0,0,5,0,0,1,1,0,0,1,29,36,2,1,2,1,4,0,4,0,4,9,0,4,0,29,36,2,1,2,1,4,0,4,0,4,9,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3370,JniBasedUnixGroupsNetgroupMapping,org.apache.hadoop.security.JniBasedUnixGroupsNetgroupMapping,L423,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\JniBasedUnixGroupsNetgroupMapping.java,40,1,130,2,0.214912,1,5,1,0.153846,0.214286,14,12,1,4,3,13,6,1,0,6,11,1,0.370787,33,29,4,0,0.370787,33,2,2,0,0,1,56,91,2,5,1,3,5,0,3,0,11,20,0,6,0,56,91,2,5,1,3,5,0,3,0,11,20,0,6,0,0,0,13,4,4,0,2,0,0,11,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
L3407,JniBasedUnixGroupsNetgroupMappingWithFallback,org.apache.hadoop.security.JniBasedUnixGroupsNetgroupMappingWithFallback,L423,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\JniBasedUnixGroupsNetgroupMappingWithFallback.java,28,1,63,2,0,0,0,0,0,0,0,0,1,1,1,6,4,0,0,4,8,0,0,0,0,0,5,0,0,1,1,0,0,1,29,36,2,1,2,1,4,0,4,0,4,9,0,4,0,29,36,2,1,2,1,4,0,4,0,4,9,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
