ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Runtime Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules
L32597,ClassWithNoPackage,ClassWithNoPackage,L32595,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-streaming\src\test\java\ClassWithNoPackage.java,19,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.894737,17,17,1,0,0.894737,17,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L132,DfsTask,org.apache.hadoop.ant.DfsTask,L107,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java,40,1,210,2,0,0,0,0,0,0,0,0,1,3,3,28,0,1,3,0,10,1,0.369128,55,54,8,0,0.358974,56,0,0,1,4,0,94,165,12,0,12,0,10,0,7,6,10,50,0,7,6,100,171,12,0,12,0,13,0,10,6,13,52,0,10,6,0,0,18,2,15,0,0,9,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,2,1,0,0
L417,HadoopArchives,org.apache.hadoop.tools.HadoopArchives,L339,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java,79,1,909,2,0,0,0,0,0,0,0,0,1,5,5,63,5,4,2,5,18,0.5,0.214953,92,56,3,3,0.213094,166,0,0,0,0,0,336,467,19,1,19,1,13,1,5,1,13,214,1,5,1,613,831,47,5,47,5,34,1,17,2,34,356,1,17,2,0,2,85,20,72,0,1,1,0,0,0,0,0,6,36,0,0,11,63,1,0,0,0,2,0,1,9,0,0,0,0,0,0,2,20,0,4,16,4,1,1,1,0
L867,TestHadoopArchives,org.apache.hadoop.tools.TestHadoopArchives,L339,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-archives\src\test\java\org\apache\hadoop\tools\TestHadoopArchives.java,57,1,760,2,0.0506512,1,2,2,0.0482955,0.0429338,34,24,1,5,4,71,1,0,0,1,26,0.1,0.125196,80,16,1,9,0.125196,80,0,0,0,0,0,559,704,8,0,8,0,25,1,9,1,25,375,1,9,1,559,704,8,0,8,0,25,1,9,1,25,375,1,9,1,0,3,80,24,43,0,2,0,0,16,0,0,0,5,0,0,0,9,53,2,0,6,0,0,28,0,9,0,0,0,0,0,0,1,0,0,0,6,0,2,12,1,0
L1047,CopyListing,org.apache.hadoop.tools.CopyListing,L339,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\CopyListing.java,46,1,277,2,0,0,0,0,0,0,0,0,1,4,4,20,9,13,24,9,19,1,0.49,98,97,3,0,0.445455,98,0,0,3,6,0,102,212,1,4,1,4,10,0,2,1,10,55,0,2,1,122,232,1,4,1,4,14,0,6,1,14,59,0,6,1,0,0,26,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L1091,CopyListingFileStatus,org.apache.hadoop.tools.CopyListingFileStatus,L339,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\CopyListingFileStatus.java,48,1,218,2,0,0,0,0,0,0,0,0,1,4,4,28,0,23,45,0,11,0.583333,0.236025,38,37,7,5,0.236025,38,0,0,0,0,0,123,171,7,2,7,2,11,0,11,2,11,64,0,11,2,123,171,7,2,7,2,11,0,11,2,11,64,0,11,2,0,0,17,0,9,0,0,0,0,0,0,0,0,3,2,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0
L1250,DiffInfo,org.apache.hadoop.tools.DiffInfo,L339,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DiffInfo.java,33,1,90,2,0,0,0,0,0,0,0,0,0,3,2,7,0,3,3,0,4,1,0.229167,11,11,1,0,0.192982,11,0,0,0,0,0,37,49,5,2,5,2,4,0,0,1,4,15,0,0,1,46,58,5,2,5,2,6,0,2,1,6,17,0,2,1,0,0,20,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
L1300,DistCp,org.apache.hadoop.tools.DistCp,L339,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCp.java,56,1,479,2,0,0,0,0,0,0,0,0,1,3,3,44,14,8,10,24,43,1,0.307692,116,115,7,0,0.298969,116,0,0,0,0,0,261,410,10,3,10,3,19,0,6,1,19,157,0,6,1,272,424,11,3,11,3,21,0,7,1,21,161,0,7,1,0,1,22,10,22,0,1,4,0,0,0,0,0,0,3,1,0,4,19,0,0,0,0,1,0,5,4,0,0,0,0,0,0,2,1,0,0,2,3,0,5,0,0
L1487,DistCpConstants,org.apache.hadoop.tools.DistCpConstants,L339,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCpConstants.java,24,1,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0.508621,59,59,1,0,0.508621,59,0,0,0,0,0,57,117,48,0,48,0,0,46,0,0,0,0,46,0,0,57,117,48,0,48,0,0,46,0,0,0,0,46,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
L1054,DistCpOptions,org.apache.hadoop.tools.DistCpOptions,L339,L103,C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\DistCpOptions.java,35,1,628,2,0.120898,1,2,2,0.03367,0.0660066,20,20,2,2,2,80,3,23,65,2,53,0.882353,0.43301,223,223,45,6,0.423954,223,0,0,0,0,0,292,582,23,12,23,12,51,0,50,17,51,119,0,50,17,303,594,32,13,32,13,52,9,51,17,52,123,9,51,17,0,0,59,2,10,0,0,0,0,9,0,1,0,1,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,22,0,0,1,0,0
