ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Runtime Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules
L110564,TestFuseDFS,TestFuseDFS,L110553,L103,C:\Users\Jasmine\Desktop\hadoop-rel-release-2.8.3\hadoop-hdfs-project\hadoop-hdfs-native-client\src\main\native\fuse-dfs\test\TestFuseDFS.java,43,1,410,2,0,0,0,0,0,0,0,0,2,2,2,36,5,2,1,7,25,0.777778,0.169492,50,22,7,2,0.149701,50,0,0,0,0,0,245,328,6,0,6,0,18,0,8,0,18,144,0,8,0,284,368,7,0,7,0,21,0,10,0,21,169,0,10,0,0,1,49,14,22,0,0,0,0,0,0,1,0,0,1,0,0,2,47,0,0,0,0,0,13,12,3,0,0,0,0,0,0,2,1,0,0,1,0,2,0,1,0
L110670,Null,Null,L110553,L103,C:\Users\Jasmine\Desktop\hadoop-rel-release-2.8.3\hadoop-hdfs-project\hadoop-hdfs\dev-support\jdiff\Null.java,18,1,20,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0.85,17,17,1,1,0.85,17,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
L110623,TestFuseDFS$RedirectToStdoutThread,TestFuseDFS$RedirectToStdoutThread,L110564,L103,C:\Users\Jasmine\Desktop\hadoop-rel-release-2.8.3\hadoop-hdfs-project\hadoop-hdfs-native-client\src\main\native\fuse-dfs\test\TestFuseDFS.java,141,3,159,4,0,0,0,0,0,0,0,0,1,2,2,4,1,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,18,19,1,0,1,0,2,0,1,0,2,8,0,1,0,18,19,1,0,1,0,2,0,1,0,2,8,0,1,0,0,0,7,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L109567,TestGenericRefresh,org.apache.hadoop.TestGenericRefresh,L106,L103,C:\Users\Jasmine\Desktop\hadoop-rel-release-2.8.3\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\TestGenericRefresh.java,47,1,234,2,0.179266,1,2,2,0.148936,0.138889,28,20,3,1,1,14,3,0,0,7,20,0.0714286,0.121951,20,6,1,13,0.121951,20,0,0,0,0,0,144,188,4,0,4,0,13,0,13,2,13,82,0,13,2,144,188,4,0,4,0,13,0,13,2,13,82,0,13,2,0,0,45,21,5,0,0,0,0,15,0,1,0,0,0,0,0,0,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,10,0,0
L109591,TestRefreshCallQueue,org.apache.hadoop.TestRefreshCallQueue,L106,L103,C:\Users\Jasmine\Desktop\hadoop-rel-release-2.8.3\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\TestRefreshCallQueue.java,44,1,163,2,0,0,0,0,0,0,0,0,1,2,2,13,5,1,0,9,14,0.2,0.09375,9,1,1,4,0.0841122,9,0,0,0,0,0,87,108,5,0,5,0,5,0,4,1,5,49,0,4,1,98,120,5,0,5,0,7,0,6,1,7,53,0,6,1,0,2,20,3,4,0,1,0,0,0,0,0,0,0,2,0,0,1,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0
L110668,TestFuseDFS$1,TestFuseDFS$1,L110664,L103,C:\Users\Jasmine\Desktop\hadoop-rel-release-2.8.3\hadoop-hdfs-project\hadoop-hdfs-native-client\src\main\native\fuse-dfs\test\TestFuseDFS.java,373,31,395,3,0,0,0,0,0,0,0,0,1,2,2,4,1,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,23,23,0,0,0,0,1,0,1,0,1,17,0,1,0,23,23,0,0,0,0,1,0,1,0,1,17,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L166,BlockStorageLocation,org.apache.hadoop.fs.BlockStorageLocation,L122,L103,C:\Users\Jasmine\Desktop\hadoop-rel-release-2.8.3\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\fs\BlockStorageLocation.java,29,1,52,2,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,0,2,0.666667,0.4,10,9,2,1,0.4,10,0,0,0,0,0,15,24,1,1,1,1,2,0,2,0,2,3,0,2,0,15,24,1,1,1,1,2,0,2,0,2,3,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
L216,Hdfs,org.apache.hadoop.fs.Hdfs,L122,L103,C:\Users\Jasmine\Desktop\hadoop-rel-release-2.8.3\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\fs\Hdfs.java,60,1,546,2,0.0633751,2,5,2,0.0451745,0.0409836,22,15,4,2,2,65,12,2,1,53,105,0.0384615,0.0965909,34,25,2,50,0.130641,55,0,0,0,0,0,318,424,2,17,2,17,52,0,51,8,52,92,0,51,8,366,487,6,20,6,18,57,0,55,8,63,110,0,59,8,0,0,139,0,2,0,0,0,0,9,0,1,0,0,1,3,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0
L659,HdfsBlockLocation,org.apache.hadoop.fs.HdfsBlockLocation,L122,L103,C:\Users\Jasmine\Desktop\hadoop-rel-release-2.8.3\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\fs\HdfsBlockLocation.java,29,1,44,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,0,2,0.333333,0.333333,6,5,1,2,0.333333,6,0,0,0,0,0,12,16,1,1,1,1,2,0,2,0,2,3,0,2,0,12,16,1,1,1,1,2,0,2,0,2,3,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L670,HdfsVolumeId,org.apache.hadoop.fs.HdfsVolumeId,L122,L103,C:\Users\Jasmine\Desktop\hadoop-rel-release-2.8.3\hadoop-hdfs-project\hadoop-hdfs-client\src\main\java\org\apache\hadoop\fs\HdfsVolumeId.java,33,1,73,2,0,0,0,0,0,0,0,0,1,1,1,9,1,2,4,1,6,0.166667,0.125,5,5,1,5,0.125,5,1,1,0,0,1,35,41,1,0,1,0,5,0,5,0,5,13,0,5,0,35,41,1,0,1,0,5,0,5,0,5,13,0,5,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
