"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L129","CompileMojo","org.apache.hadoop.maven.plugin.cmakebuilder.CompileMojo","L109","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\CompileMojo.java","36","1","266","2","0","0","0","0","0","0","0","0","1","4","4","35","2","0","0","4","9","0.25","0.180995","40","36","1","3","0.180995","40","0","0","0","0","0","181","231","6","0","6","0","5","0","3","0","5","108","0","3","0","181","231","6","0","6","0","5","0","3","0","5","108","0","3","0","0","0","19","0","3","0","0","0","0","0","0","0","0","5","3","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L298","TestMojo","org.apache.hadoop.maven.plugin.cmakebuilder.TestMojo","L109","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\TestMojo.java","40","1","394","2","0","0","0","0","0","0","0","0","1","5","4","52","2","0","0","4","10","0.5","0.209003","65","58","1","1","0.212575","71","0","0","0","0","0","246","335","13","0","13","0","6","0","1","0","6","138","0","1","0","263","355","15","0","15","0","9","0","4","0","9","143","0","4","0","0","15","28","3","13","0","1","6","0","0","0","0","0","4","0","0","0","19","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","1","3","0","0","0"
"L435","ProtocMojo","org.apache.hadoop.maven.plugin.protoc.ProtocMojo","L429","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocMojo.java","30","1","61","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","2","3","0.5","0.148148","4","4","1","1","0.148148","4","0","0","0","0","0","23","32","7","0","7","0","1","0","1","0","1","2","0","1","0","23","32","7","0","7","0","1","0","1","0","1","2","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L447","ProtocRunner","org.apache.hadoop.maven.plugin.protoc.ProtocRunner","L429","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocRunner.java","43","1","284","2","0","0","0","0","0","0","0","0","1","4","4","22","3","3","2","7","9","0.333333","0.064","8","3","1","2","0.092511","21","0","0","0","0","0","117","135","9","0","9","0","2","0","2","0","2","70","0","2","0","206","242","12","0","12","0","8","0","4","0","8","119","0","4","0","0","0","32","1","1","0","1","0","0","0","0","0","0","3","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0"
"L629","ProtocTestMojo","org.apache.hadoop.maven.plugin.protoc.ProtocTestMojo","L429","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocTestMojo.java","30","1","61","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","2","3","0.5","0.142857","4","4","1","1","0.142857","4","0","0","0","0","0","24","32","7","0","7","0","1","0","1","0","1","2","0","1","0","24","32","7","0","7","0","1","0","1","0","1","2","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L650","ResourceGzMojo","org.apache.hadoop.maven.plugin.resourcegz.ResourceGzMojo","L647","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\resourcegz\ResourceGzMojo.java","42","1","131","2","0","0","0","0","0","0","0","0","1","2","2","3","1","0","0","2","3","0.5","0.395349","17","17","1","1","0.204819","17","0","0","0","0","0","26","47","3","0","3","0","1","0","1","0","1","10","0","1","0","66","90","6","1","6","1","4","0","4","0","4","24","0","4","0","0","0","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"L594","Exec","org.apache.hadoop.maven.plugin.util.Exec","L831","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","30","1","185","2","0","0","0","0","0","0","0","0","3","3","3","16","1","4","4","2","7","1","0.361111","39","39","6","0","0.353333","53","0","0","0","0","0","69","115","1","0","1","0","5","0","5","0","5","41","0","5","0","97","156","3","1","3","1","8","0","8","0","8","53","0","8","0","0","0","6","4","3","0","0","0","0","0","0","1","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0"
"L877","FileSetUtils","org.apache.hadoop.maven.plugin.util.FileSetUtils","L831","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\FileSetUtils.java","27","1","59","2","0","0","0","0","0","0","0","0","1","1","1","3","0","2","2","0","2","1","0.514286","18","18","2","0","0.514286","18","0","0","0","0","0","17","33","0","1","0","1","2","0","1","0","2","9","0","1","0","17","33","0","1","0","1","2","0","1","0","2","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L891","VersionInfoMojo","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo","L888","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","48","1","343","2","0.083151","1","8","2","0.0675676","0.0980392","20","20","1","4","4","41","4","0","0","3","14","0.5","0.278196","74","71","1","1","0.266187","74","0","0","0","0","0","192","282","10","5","10","5","11","0","1","0","11","109","0","1","0","204","296","14","5","14","5","13","3","2","0","13","111","3","2","0","0","0","47","7","5","0","0","0","0","14","0","0","0","2","0","0","0","8","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","1","2","0","0"
"L336","TestMojo$TestThread","org.apache.hadoop.maven.plugin.cmakebuilder.TestMojo$TestThread","L298","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\cmakebuilder\TestMojo.java","134","3","153","4","0","0","0","0","0","0","0","0","1","1","1","4","0","1","1","0","3","0.25","0.26087","6","6","1","3","0.26087","6","0","0","0","0","0","17","20","2","0","2","0","3","0","3","0","3","5","0","3","0","17","20","2","0","2","0","3","0","3","0","3","5","0","3","0","0","0","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
