ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Runtime Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules
L47633,ClassWithNoPackage,ClassWithNoPackage,L47631,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-streaming\src\test\java\ClassWithNoPackage.java,19,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.894737,17,17,1,0,0.894737,17,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L22943,HadoopArchiveLogs,org.apache.hadoop.tools.HadoopArchiveLogs,L22839,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-archive-logs\src\main\java\org\apache\hadoop\tools\HadoopArchiveLogs.java,71,1,596,2,0.0466965,1,3,1,0.039924,0.0409483,21,19,1,8,8,69,3,1,5,4,16,0.166667,0.0659091,29,24,1,5,0.0588235,29,0,0,0,0,0,411,464,22,1,22,1,12,0,5,1,12,217,0,5,1,464,526,25,4,25,4,20,0,12,2,20,239,0,12,2,0,4,71,6,57,0,0,0,0,9,0,0,0,9,12,0,0,5,47,0,0,0,0,4,0,19,21,0,0,0,0,0,0,0,2,0,0,6,1,1,2,0,0
L23083,HadoopArchiveLogsRunner,org.apache.hadoop.tools.HadoopArchiveLogsRunner,L22839,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-archive-logs\src\main\java\org\apache\hadoop\tools\HadoopArchiveLogsRunner.java,48,1,224,2,0.138439,1,3,1,0.118644,0.124183,21,19,1,2,2,16,1,3,2,2,9,0.166667,0.0764331,12,4,1,5,0.0727273,12,0,0,0,0,0,145,169,16,1,16,1,7,0,5,1,7,78,0,5,1,153,177,16,1,16,1,9,0,7,1,9,80,0,7,1,0,2,39,9,7,0,0,0,0,9,0,0,0,0,0,0,0,3,27,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2,0
L23170,TestHadoopArchiveLogs,org.apache.hadoop.tools.TestHadoopArchiveLogs,L22839,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-archive-logs\src\test\java\org\apache\hadoop\tools\TestHadoopArchiveLogs.java,46,1,404,2,0.168157,3,7,5,0.153203,0.169753,55,55,3,2,2,13,2,0,0,9,18,0.142857,0.0595238,20,6,1,6,0.0581395,20,0,0,0,0,0,316,351,4,0,4,0,9,0,6,0,9,214,0,6,0,324,359,4,0,4,0,10,0,7,0,10,217,0,7,0,0,0,51,11,1,0,0,0,0,25,0,1,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,7,0,0
L23212,TestHadoopArchiveLogsRunner,org.apache.hadoop.tools.TestHadoopArchiveLogsRunner,L22839,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-archive-logs\src\test\java\org\apache\hadoop\tools\TestHadoopArchiveLogsRunner.java,45,1,157,2,0.0615836,1,3,1,0.0973451,0.102804,11,11,1,2,2,6,1,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,103,109,2,0,2,0,2,0,1,0,2,63,0,1,0,107,113,2,0,2,0,3,0,2,0,3,64,0,2,0,0,0,21,2,18,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
L23086,HadoopArchives,org.apache.hadoop.tools.HadoopArchives,L22839,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java,83,1,941,2,0,0,0,0,0,0,0,0,1,5,5,65,5,6,4,5,19,0.5,0.205689,94,57,3,3,0.208178,168,0,0,0,0,0,363,497,24,1,24,1,14,1,5,1,14,226,1,5,1,639,859,54,5,54,5,35,1,17,2,35,368,1,17,2,0,2,89,16,74,0,1,1,0,0,0,0,0,6,37,0,0,12,67,1,0,0,0,2,0,1,5,0,0,0,0,0,0,2,20,0,4,16,4,1,1,1,0
L23566,TestHadoopArchives,org.apache.hadoop.tools.TestHadoopArchives,L22839,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-archives\src\test\java\org\apache\hadoop\tools\TestHadoopArchives.java,60,1,806,2,0.110816,2,6,3,0.0910308,0.0957983,68,57,1,5,4,74,1,0,0,1,27,0.0909091,0.121123,82,16,1,10,0.121123,82,0,0,0,0,0,595,747,8,0,8,0,26,1,10,1,26,403,1,10,1,595,747,8,0,8,0,26,1,10,1,26,403,1,10,1,0,3,89,27,47,0,2,0,0,23,0,0,0,5,0,0,0,9,55,2,0,10,0,0,28,0,9,0,0,0,0,0,0,1,0,0,0,6,0,3,13,2,0
L23687,CopyFilter,org.apache.hadoop.tools.CopyFilter,L22839,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\CopyFilter.java,27,1,60,2,0,0,0,0,0,0,0,0,1,1,1,4,3,3,2,1,4,1,0.588235,20,20,4,0,0.588235,20,0,0,2,2,0,14,34,0,1,0,1,3,0,3,0,3,5,0,3,0,14,34,0,1,0,1,3,0,3,0,3,5,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L23712,CopyListing,org.apache.hadoop.tools.CopyListing,L22839,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\CopyListing.java,48,1,313,2,0,0,0,0,0,0,0,0,1,5,5,25,9,13,29,13,23,1,0.449782,103,97,3,0,0.40873,103,0,0,3,4,0,126,242,2,4,2,4,10,0,2,1,10,67,0,2,1,149,266,2,4,2,4,15,0,7,1,15,72,0,7,1,0,0,31,1,4,0,0,0,0,0,0,0,0,3,1,1,0,0,26,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
L23763,CopyListingFileStatus,org.apache.hadoop.tools.CopyListingFileStatus,L22839,L103,C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-3.0.0\hadoop-tools\hadoop-distcp\src\main\java\org\apache\hadoop\tools\CopyListingFileStatus.java,50,1,408,2,0,0,0,0,0,0,0,0,1,4,4,57,0,30,73,0,32,0.212121,0.130435,42,41,7,26,0.130435,42,0,0,0,0,0,280,359,19,14,19,14,32,0,32,4,32,140,0,32,4,280,359,19,14,19,14,32,0,32,4,32,140,0,32,4,0,0,68,0,7,0,0,0,0,0,0,0,0,3,2,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,4,0,0,0
